Level,Hierarchical structure,Code,Class title,Class definition
2,Group,RDS10608,Machinery and equipment (including automated machinery and equipment),"This group covers research and experimental development (R&D) activities directed towards the manufacture of machinery and equipment. It includes, among others, household electrical appliances, whitewares and automated machinery."
2,Group,RDS10609,"Computer, electronic, optical products and communication equipment","This group covers research and experimental development (R&D) activities dealing with computer hardware, electronic equipment, optical products and communication equipment, including consumer electronic equipment."
2,Group,RDS10610,"Information systems, technologies and services","This group covers research and experimental development (R&D) activities involved in gathering, processing, storing, distributing, and use of information, and its associated technologies and services."
2,Group,RDS10611,Measurement standards and calibration services,"This group covers research and experimental development (R&D) activities directed towards the development and provision of measurement standards and calibration services for defence, manufacturing and the service industries."
2,Group,RDS10699,"Industrial production and technology, n.e.c.","This group covers research and experimental development (R&D) activities directed towards the manufacture of tobacco products, furniture, prefabricated buildings and other products not classified elsewhere, including advancement of knowledge in these areas."
1,Division,RDS107,Health,"This division is a socioeconomic objective which covers research and experimental development (R&D) activities with objectives related to protect, promote and restore human health. It ranges from biomedical and clinical research to research focused on health services and population and public health, including all aspects of medical and surgical treatment, the provision of hospital and home care, and public health, mental health, prevention and wellness."
2,Group,RDS10701,Human health procedures and pharmaceutical treatments,"This group covers research and experimental development (R&D) activities directed towards the development and manufacture of products and methods used in the prevention, diagnosis and treatment (using medications or drugs) of human diseases."
2,Group,RDS10702,Provision of care,This group covers research and experimental development (R&D) activities directed towards the provision and evaluation of care.
2,Group,RDS10703,Public health (except specific population health),"This group covers research and experimental development (R&D) activities directed towards community health and well-being of general public, excluding specific population groups. It includes research into the complex biological, social, cultural and environmental interactions that determine the health of individuals and the general public. Many activities are targeted at populations such as health campaigns and health policies. Public health services also include the provision of personal services to individual persons, such as vaccinations, behavioural counselling, or health advice."
2,Group,RDS10704,Specific population health,"This group covers research and experimental development (R&D) activities directed towards community and public health of specific population groups and discrete community groups (e.g., aged persons, persons living in rural and remote areas), including indigenous communities. It includes the study of social and cultural factors affecting the health of these groups and the delivery of health services to these groups."
2,Group,RDS10799,"Health, n.e.c.","This group covers research and experimental development (R&D) activities directed towards health not elsewhere classified, including advancement of knowledge in this area."
1,Division,RDS108,Agriculture (including fisheries and forestry),"This division is a socioeconomic objective which covers all research and experimental development (R&D) activities with objectives related to promote agriculture, forestry, fisheries and foodstuff production, or further knowledge on chemical fertilisers, biocides, biological pest control and the mechanisation of agriculture, as well as concerning the impact of agricultural and forestry activities on the environment. This objective also covers R&D activities aimed at improving food productivity and technology. It does not include R&D activities on the reduction of pollution (objective 2 or RDS102); on the development of rural areas; on the construction and planning of buildings; on the improvement of rural rest and recreation amenities and agricultural water supply (objective 4 or RDS104); on energy efficiency measures (objective 5 or RDS105); or on the food processing industry (objective 6 or RDS106)."
2,Group,RDS10801,Forestry,"This group covers research and experimental development (R&D) activities directed towards improving the operation, maintenance and protection (including forest fire fighting and control) of native forests, softwood and hardwood plantations. It includes harvesting and transportation of wood and other forest products from forests and plantations and the integration of farm and forestry."
2,Group,RDS10802,Soils,This group covers research and experimental development (R&D) activities directed towards an understanding of soils and improving soil quality in various environments.
2,Group,RDS10803,Crops,"This group covers research and experimental development (R&D) activities directed towards improving the characteristics, propagation and growing of all crops. It includes crops grown for industrial applications such as sugar cane, cotton, wine grapes, tobacco, and plants from which essential oils are extracted."
2,Group,RDS10804,Harvesting and packing of plant products,"This group covers research and experimental development (R&D) activities directed towards improving technologies, processes and methods used for harvesting, handling and packing of plant products, other than forest products."
2,Group,RDS10805,Fisheries (including aquaculture and wild caught),"This group covers research and experimental development (R&D) activities directed towards improving the characteristics and harvesting of fisheries grown or farmed in aquaculture, or caught in the wild, either for commercial, recreational or other reasons."
2,Group,RDS10806,Livestock raising (including beekeeping and pet breeding),This group covers research and experimental development (R&D) activities directed towards farming or breeding livestock. It includes beekeeping and pet breeding.
2,Group,RDS10807,Primary animal products,"This group covers research and experimental development (R&D) activities directed towards improving the preparation, handling or storage of primary animal products such as eggs, honey, raw wool, unprocessed or minimally processed fish or milk, and other animal fibres, hides and skins."
2,Group,RDS10899,"Agriculture, n.e.c.","This group covers research and experimental development (R&D) activities directed towards animal production, animal primary products, plant production and plant primary products not elsewhere classified. It includes the traceability and quality assurance of plant products, and advancement of knowledge in all these areas."
1,Division,RDS109,Education,"This division is a socioeconomic objective which covers research and experimental development (R&D) activities with objectives related to supporting general or special education, including training, pedagogy, didactics, and targeted methods for specially gifted persons or those with learning disabilities. This objective applies to all levels of education, from pre- and primary school through to tertiary education, as well as to subsidiary services to education."
2,Group,RDS10901,Stages of education,This group covers research and experimental development (R&D) activities directed towards improving the learning outcomes of individual learners at specific education levels.
2,Group,RDS10902,Teaching methods and curriculum,This group covers research and experimental development (R&D) activities directed towards improving teaching and instruction and directed towards the improvement of curricula used in education.
2,Group,RDS10903,"Educational institutions, systems, and policies","This group covers research and experimental development (R&D) activities directed towards the improvement of school, educational institution learning environments, education and training systems. Teaching and instruction of Aboriginal and Indigenous Peoples, learners of specific sexes or genders, gifted learners and disabled learners are also included in this group."
2,Group,RDS10999,"Education, n.e.c.","This group covers research and experimental development (R&D) activities directed towards education and training not elsewhere classified, including advancement of knowledge in this area."
1,Division,RDS110,"Culture, recreation, religion and media","This division is a socioeconomic objective which covers research and experimental development (R&D) activities with objectives to improve the understanding of social phenomena related to cultural activities, religion and leisure activities so as to define their impact on life in society, as well as to racial and cultural integration and on socio-cultural changes in these areas. The concept of ""culture"" covers the sociology of science, religion, art, sport and leisure, and also comprises inter alia R&D activities on the media, the mastery of language and social integration, libraries, archives and external cultural policy. This objective also includes R&D activities related to: recreational and sporting services; cultural services; broadcasting or online streaming and publishing services; and religious and other community services."
2,Group,RDS11001,Information services,"This group covers research and experimental development (R&D) activities directed towards information services. It includes but is not limited to libraries, library databases and information processing; presentation of information, including displays, in libraries, museums and art galleries, educational centres and similar facilities; and electronic archives, open access, and news collection services."
2,Group,RDS11002,Media services,This group covers research and experimental development (R&D) activities directed towards media services. It includes but is not limited to broadcasting or online streaming services; internet and social media; animation and video games; publishing and printing services; and film and video services.
2,Group,RDS11003,Tourism,This group covers research and experimental development (R&D) activities directed towards the development and provision of tourism services.
2,Group,RDS11004,Arts and culture,"This group covers research and experimental development (R&D) activities directed towards the arts and cultural activities. It includes music; creative and performing arts; design and architecture; art galleries and museums, and including digital humanities."
2,Group,RDS11005,"Sports, exercise and recreation","This group covers research and experimental development (R&D) activities directed towards the sports, exercise or physical endeavor and other recreational activities. It includes the provision of services to sport and sporting clubs and recreation and leisure (including the operation of race tracks, parks, and botanical and zoological gardens)."
2,Group,RDS11006,"Communication, literature and language","This group covers research and experimental development (R&D) activities directed towards improving understanding of the social and cultural contexts of communication. It includes but is not limited to languages, literature, journalism, linguistics and semantics."
2,Group,RDS11007,Heritage (including Indigenous culture),"This group covers research and experimental development (R&D) activities directed towards heritage issues, including the conservation of natural, social and cultural heritage. This group also covers R&D directed towards indigenous culture, knowledge, language, and rights."
2,Group,RDS11008,Ethics,"This group covers research and experimental development (R&D) activities directed towards the understanding and analysis of ethics. Including but not limited to applying ethical or moral theory to such issues; and developing codes of behaviour and standards of practice for businesses, professions and trades."
2,Group,RDS11009,Religion,"This group covers research and experimental development (R&D) activities directed towards the understanding and analysis of religion. Including but not limited to improving understanding and analysis of religious issues of concern to social, scientific or technological development."
2,Group,RDS11010,"Understanding of societies, past and current",This group covers research and experimental development (R&D) activities directed towards the understanding of past and current societies.
2,Group,RDS11099,"Culture, recreation, and media, n.e.c.","This group covers research and experimental development (R&D) activities directed towards cultural understanding not elsewhere classified, including advancement of knowledge in these areas."
1,Division,RDS111,"Political and social systems, structures and processes","This division is a socioeconomic objective which covers research and experimental development (R&D) activities with objectives to improve the understanding of and support the political structure of society; public administration issues and economic policy; regional studies and multi-level governance; social change, social processes and social conflicts; the development of social security and social assistance systems; and the social aspects of the organisation of work. This objective also includes de R&D activities related to gender-related social studies, including discrimination and familiar problems; the development of methods of combating poverty at local, national and international levels; the protection of specific population categories on the social level (immigrants, delinquents, ""drop outs"", etc.), on the sociological level, i.e. with regard to their way of life (young people, adults, retired people, disabled people, etc.) and on the economic level (consumers, farmers, fishermen, miners, the unemployed, etc.); and methods of providing social assistance when sudden changes (natural, technological or social) occur in society. This objective does not include R&D activities related to industrial health, the health control of communities from the organisational and socio-medical point of view, pollution at the place of work, the prevention of industrial accidents and the medical aspects of the causes of industrial accidents (objective 7 or RDS107)."
2,Group,RDS11101,Finance and economics,"This group covers research and experimental development (R&D) activities directed towards the development and provision of finance and investment services. It includes but is not limited to banks, building societies, credit unions and money market dealing; investment and superannuation services; and insurance services. This group also covers R&D directed towards the understanding of economic issues at the microeconomic and macroeconomic level. It includes effects on taxation, consumption, industrial organisations, industry policy, industry cost and structure, fiscal policy, monetary policy, exchange rates, balance of payments, income policy, and taxation."
2,Group,RDS11102,International trade,"This group covers research and experimental development (R&D) activities directed towards understanding issues relating to international trade, including trade policy, assistance and protection and international agreements on trade."
2,Group,RDS11103,"Management, marketing and productivity","This group covers research and experimental development (R&D) activities directed towards management, productivity, and innovation issues. It includes R&D directed towards marketing, e-commerce, industrial relations, and business support services."
2,Group,RDS11104,Government and politics,This group covers research and experimental development (R&D) activities directed towards government and politics. It includes electoral and political systems; civics and citizenship; and public service management.
2,Group,RDS11105,International relations,"This group covers research and experimental development (R&D) activities directed towards improving international relations. It includes R&D relating to current social, cultural and economic aspects of other nations."
2,Group,RDS11106,Justice and the law,"This group covers research and experimental development (R&D) activities directed towards justice and the law. Not limited to but including legal processes; civil and criminal justice; crime prevention, law enforcement and correctional services; and, law reform."
2,Group,RDS11107,Work and labour market issues,"This group covers research and experimental development (R&D) activities directed towards aspects of work. Not limited to but including employment and work patterns; labour market; professions; salaries and benefits; and, workplace accommodations and safety."
2,Group,RDS11108,"Environment, urban, and rural planning and development","This group covers research and experimental development (R&D) activities directed towards the development of social and economic environmental policies, legislation and standards. In addition, this group covers R&D directed towards the social, economic, environmental, development, and population issues of regional, urban, suburban, rural, and northern communities."
2,Group,RDS11109,Family and social work,"This group covers research and experimental development (R&D) activities directed towards providing prevention, support, access, justice, community and welfare services to individuals, families, or to defined vulnerable populations, such youth and seniors."
2,Group,RDS11110,Social justice,"This group covers research and experimental development (R&D) activities directed towards providing or delivering community services to individuals or to defined community groups such as women, gender-diverse persons, indigenous peoples, persons with disabilities, and members of visible minorities."
2,Group,RDS11199,"Political and social systems, structure and processes, n.e.c.","This group covers research and experimental development (R&D) activities directed towards law, politics and community services not elsewhere classified, including advancement of knowledge in these areas."
1,Division,RDS112,Defence,"This division is a socioeconomic objective which covers research and experimental (R&D) activities with objectives to serve military purposes. This objective may also include basic research in nuclear and space activities when financed by the ministry of defence, including advancement of knowledge in these areas. Civil research and experimental development financed by the ministry of defence, for example in the fields of meteorology, telecommunications and health, should be classified in the relevant objectives."
2,Group,RDS11299,Defence,"This group covers research and experimental (R&D) activities with objectives to serve military purposes. This objective may also include basic research in nuclear and space activities when financed by the ministry of defence, including advancement of knowledge in these areas. Civil research and experimental development financed by the ministry of defence, for example in the fields of meteorology, telecommunications and health, should be classified in the relevant objectives."
