ID,Title,PISSN,EISSN,Country,Created
fa6d5265006b4394a5a9a31ff18ec4be,Arab World English Journal for Translation and Literary Studies,,2550-1542,US,2021
3c8bcd651e1e4e1caee2e39ef9b8ed72,Studii si Cercetari Filologice: Seria Limbi Straine Aplicate,1583-2236,,RO,2021
33dcb401bb8e476f98038bec07847308,Uluslararası Sosyal Bilimler Akademi Dergisi (USBAD),,2687-2641,TR,2021
67c564fa2bb94d9b978469926ff24e40,Erzincan Universitesi Sosyal Bilimler Enstitüsü Dergisi,1308-6510,2148-9289,TR,2021
0373a4eee3374193a927ef78f21b7785,The Blue Planet : A Magazine on Sustainability,2652-7995,2652-7987,AU,2021
d309327af5b2411fa0955d495acdbc2f,Syariati: Jurnal Studi Al-Qur`an dan Hukum,2259-9778,2599-1507,ID,2021
60bd30dda9a84640bf5a1f36af2188f1,Journal of Information and Visualization,,2746-1440,ID,2021
651d8a7904cb422c8ad4d6e2d9f7f405,"Journal of Applied Science, Engineering, Technology, and Education",,2685-0591,ID,2021
84c5406f6a8549bfacf8c8550a3c81c8,Quantitative Economics and Management Studies,,2722-6247,ID,2021
60d57e4ef5f449f39e8751349e50a8f0,TMR Modern Herbal Medicine,,2537-9798,NZ,2021
5ed7dac8f68b4a52baf59fa4234f31eb,Journal of Innovative Research in Teacher Education,,2757-6116,TR,2021
3a3431cbaf44426d92259a3f55c47a58,EntomoBrasilis,,1983-0572,BR,2021
d33fe32fa369467885b3e539fa2c141f,Journal of Education and Teaching Learning (JETL),,2656-0283,ID,2021
e9975d3b622e41bfa2a241bed3be662c,Journal of Architectural Thought,2538-3019,2676-4806,IR,2021
97c2010e8b2b472194792bd31e3a37bb,İnsan ve Toplum Bilimleri Araştırmaları Dergisi,,2147-1185,TR,2021
6373929efbeb4e85a925bf0c5606dae6,Ecologia Balkanica,1314-0213,1313-9940,BG,2021
542da2097bdd4bd0bc746fbc6ccfff76,Islamology,,2541-884X,RU,2021
aad8d2fed4664513963556aaebcdc2cf,Христианство на Ближнем Востоке,2587-9316,,RU,2021
1d5bd066a2cd47cfa03b7ebd1fcc6d0e,Anglistica AION : An Interdisciplinary Journal,,2035-8504,IT,2021
5fbcc8a50d8c467a803cd763865b1ae3,Oğuzhan Sosyal Bilimler Dergisi,,2687-5845,TR,2021
fa61da3e40d244a48f859003e850f639,Iranian Journal of Irrigation and Drainage,2008-7942,2676-6884,IR,2021
00123d33611946ce95f98784f227a141,Hypertension Journal,2454-5996,2455-4987,IN,2021
51574508c288481db22ae758932603c2,Diálogos e Perspectivas Interventivas,,2675-682X,BR,2021
0d1a134e17004fcdbf559deb2ad6bbc6,Práticas e Cuidado: Revista de Saúde Coletiva,,2675-7591,BR,2021
413e0f1c2e8348c8a1160079679cd963,Alifmatika,2715-6095,2715-6109,ID,2021
a7e91eb0bedb4b558568b5ee3461d8d1,Revista Odeere,,2525-4715,BR,2021
1a207c9f86be411aa9219708c9e490f5,Cultura e Scienza del Colore,,2384-9568,IT,2021
596e3db92bab481c8f2fed9623ad4cdf,Dental Poster Journal,,2278-7372,IN,2021
dc8166b078b14041b13aa56d7a60b1d7,International Journal of Political Theory,,2371-3321,CA,2021
4d8bb36bd7d2448b87c73c0055bf9882,Journal of Innovations in Civil Engineering and Technology,,2687-2129,TR,2021
3322f3f565594b26824690b3ce652c8b,Şehir Tıp Dergisi,,2717-9699,TR,2021
8ff77452b1e74333a768ee2029a9b9c6,Journal of Southern Hemisphere Earth Systems Science,,2206-5865,AU,2021
27360988c5444453a770bf009f706429,Revista Geadel,,2675-5041,BR,2021
1a3dec7e02be4fa58ecf5fe546562a45,Jurnal Pendidikan Dasar Flobamorata,2721-9003,2721-8996,ID,2021
54e421db7d374445a53e53e2958e654b,Jurnal Evaluasi Pendidikan,2086-7425,2620-3073,ID,2021
252eeaec839d43c2bebb0a22fe4415dd,Iranian Journal of Medical Sciences,0253-0716,1735-3688,IR,2021
57eece40502247769ef040dab2110a3a,Australian Journal of Science and Technology,,2208-6404,AU,2021
e5c89143165d468baff9314f39f3610b,Informacinės Technologijos ir Valdymas,1392-124X,2335-884X,LT,2021
0d31002ae39549c3bfa5f3bb53bc6c67,International Journal of Banking and Finance,1675-722X,,MY,2021
b5aa08d09f5344bf83b689934c40bcfb,Journal of Cultura and Lingua,,2746-4806,ID,2021
9a2612d8112a4ddfa656c044853fb519,Ampera: A Research Journal on Politics and Islamic Civilization,,2720-9741,ID,2021
398579bdf28b4d5791b1bcd259f57445,Erevna,2521-5078,2709-8621,PK,2021
1062e9e2ea124de280640d537404ca22,Tamaddun: Jurnal Kebudayaan dan Sastra Islam,1412-9027,2622-531X,ID,2021
c35124e677a241ff8c396b76bd67efb7,International Journal of Language & Law,,2194-7414,DE,2021
2dd096cd4dd246c1b8ba24142588c49a,Przegląd Pedagogiczny,1897-6557,,PL,2021
b99513ea68b640e8bb59654ef0678a7b,Рослинництво та ґрунтознавство,2706-7688,2706-7696,UA,2021
c1f006bbf2c64ce79c6068c4bb65e99b,Prace Komisji Geografii Przemysłu Polskiego Towarzystwa Geograficznego,2080-1653,2449-903X,PL,2021
bc7a030543c8492fb5d961c62b52128e,Mediatika,1137-4462,1988-3935,ES,2021
28fd8d9200464d04b42a17b3ecc773a9,Ulusal Kinesyoloji Dergisi,,2757-6566,TR,2021
37b66df77bcf41c3830b0aa960fb7eaa,Biological and Applied Environmental Research,,2002-6153,SE,2021
40f8d949f59d4009b326c6475013b41d,HU Revista,0103-3123,1982-8047,BR,2021
8feb6432b0e94cccbffb84fe251fbcdf,Forum Bibliotek Medycznych,1899-5829,2450-0437,PL,2021
93ee78d61b3147b8a2fd7fa21dbe7793,Teoria Jurídica Contemporânea,,2526-0464,BR,2021
5bbc7caaefad4b4399986ceba5841eee,Analisis Pengaruh Posisi Peletakan Magnet Permanen di Rotor Terhadap Kinerja Generator Sinkron Magnet Permanen,2355-6870,,ID,2021
2e4ccaba0acb4cc9851fd08771f8129e,Mimer Medical Journal,,2581-3072,IN,2021
3e9870c5f9604f98b59aaea3eb6fbc63,Revista CENIC Ciencias Químicas,1015-8553,2221-2442,CU,2021
96176fe99e7e4e8a9059d0b0de5f121f,Nefroloji Hemşireliği Dergisi,,2147-7728,TR,2021
d14b1d3b61b94b3faec55174285ff35b,International Journal of Engineering Works,2521-2419,2409-2770,PK,2021
09fd482c4a064041827a03831bf7d35f,Milliyetçilik Araştırmaları Dergisi,2667-4459,2667-7911,TR,2021
100f612778d3473598aa3446e148f44e,Revista Ambientale,1984-9915,2318-454X,BR,2021
ca5d0c759a854c5ba6e1edb66866567e,Burnished Law Journal,,2582-5534,IN,2021
0a952c5c4b5c4071ad1b35856b7a3e83,Tamaddun,1693-394X,2722-2632,ID,2021
0200cd4830564f178fca4e1364826f97,International Journal of TESOL Studies,2632-6779,2633-6898,GB,2021
f21947f1b6454c2ab7a90c1285908784,Кыргызстандагы саламаттык сактоо,1694-8068,1694-805X,KG,2021
bebf0767cc8b40e3a5bedc0db5ae1d4c,Modern Care Journal,,2423-7876,IR,2021
600c34f418c140fdabf89adc80526fb8,Chinese Journal of Network and Information Security,2096-109X,,CN,2021
a18c1e77c98a41a0911cb76063288e27,"Journal of Traditional Building, Architecture and Urbanism",2660-5821,2660-583X,ES,2021
be2b7a97425d4352bd0221af40ebc0c0,Hangkong bingqi,1673-5048,,CN,2021
3892b20297354122b96a2c06c92342ac,Iranian Journal of  Field Crops Research,2008-1472,2423-3978,IR,2021
86861d93a53d4094bec940d7cbd35f14,EARI. Educación Artística. Revista de Investigación,1695-8403,2254-7592,ES,2021
d21d4b6789bc4577bc86e102f01f154c,Edulead : Journal of Education Management,2684-9208,,ID,2021
939f12ab748e468f81aae8ebf2c7a2f5,"Journal of Tourism, Hospitality and Environment Management",,0128-178X,MY,2021
d5ec27e5b5b14c87a017fec43f84432c,Journal of Information System and Technology Management,,0128-1666,MY,2021
881e13811e474113b1047f4890080b23,"International Journal of Education, Psychology and Counselling",,0128-164X,MY,2021
c191b60e85fe45c3adee724fcf8a7089,Journal of Clinical and Scientific Research,2277-5706,2277-8357,IN,2021
1577aa3f98524077a22205062ef31bf9,European journal of volunteering and community-based projects,2724-0592,2724-1947,IT,2021
509ec5363c9e4041b394e68b533cd914,Temes de Disseny,2604-9155,2604-6032,ES,2021
665411a3c70a4c03ae4e0825b5e5d7bb,Al-Jabar: Jurnal Pendidikan Matematika,2086-5872,2540-7562,ID,2021
b2d58af2513d4a10ae0499c750f80020,Acta Agrobotanica,0065-0951,2300-357X,PL,2021
686bfa77d192464f9445855bade83ac6,Acta Mycologica,0001-625X,2353-074X,PL,2021
1ad1b1a47c07428887a782b034242661,Acta Societatis Botanicorum Poloniae,0001-6977,2083-9480,PL,2021
4a23618cee154fe7a9b03446819fbe76,Silva Balcanica,1311-8706,,BG,2021
ac300adf31ee4d3386f338dce2df74df,Acta Palaeobotanica,,2082-0259,PL,2021
c975f558b7f34c8494fa31296e53a321,Nordisk Tidsskrift for Ungdomsforskning,,2535-8162,NO,2021
decd1ca48457430ca55ef1c865b3f375,Ensino em Perspectivas,,2675-9144,BR,2021
e55d2792bc5845b9b13f97f3e77c9af9,Erciyes Tarım ve Hayvan Bilimleri Dergisi,,2651-5354,TR,2021
40281e97d41d4918a3d3d991aeaac3a0,IETI Transactions on Engineering Research and Practice,,2616-1699,HK,2021
584c14d8a91d41778929645aae82b93c,Российский паразитологический журнал,1998-8435,2541-7843,RU,2021
75c14081a93045a99790b13262b0671d,Small States & Territories,,2616-8006,MT,2021
970c4f31a1f14dc6b4d3818f28bc905c,Eurasian Journal of Critical Care,,2667-8721,TR,2021
a6414dcf1cfb433dbc60015609858906,Journal of Sustainable Marketing,,2766-0117,US,2021
4a960d2d76424952ae2afe1a24ec9eb1,Journal of Innovations in Digital Marketing,,2765-8341,US,2021
fe9b9d0207144ee8889bf40fb27f9a09,Conflict and Society,2164-4543,2164-4551,US,2021
75c89c9c97af461884be2ccd717a1776,Environment and Society,2150-6779,2150-6787,US,2021
4ede6e6e69ef4051b7fca47fab6799de,Museum Worlds,2049-6729,2049-6737,US,2021
