ID,Journal Name,ISSNs,Q14,Q18
6340d36233834ea7a7d9cdc1e366349a,The European Physical Journal A - Hadrons and Nuclei,"1434-6001, 1434-601X",False,False
6347b0e88b2d4f08800be383321748f6,Mangroves and Salt Marshes,1386-3509,False,False
63a503364bd04eaa910536ed2866c0dd,Global Journal of Cardiovascular and Cerebrovascular Diseases,"2375-4095, 2309-3374",False,False
6402d03ba667438d87b1d0873cc9b0d0,Journal of Computational and Applied Mechanics,1586-2070,False,False
6406908712c2442eb5c78cf7ce5eab52,Journal of plasma physics.,"1469-7807, 0022-3778",False,False
642eb62d2a754650a963fcd2e60a2ef8,"Aging, Neuropsychology, and Cognition ","1744-4128, 1382-5585",False,False
64322ba7e83745d0b7a842529600b981,UPGRADE : The European Journal for the Informatics Professional,1684-5285,False,False
64624af1468947ef92423f261094a806,Revista Española de Investigación Criminológica,1696-9219,False,False
64764805241044df9d5f7258944fb3d3,Métodos en Ecología y Sistemática,"1659-2182, 1659-3049",False,False
648f4ca5ec194b6982e2643713f67f4e,Open Area Studies Journal,1874-9143,False,False
64b59fdaf30f4c0d8ba1e185a6c6345c,"DEVELOPMENT, GROWTH AND DIFFERENTIATION","0012-1592, 1440-169X",False,False
64bf242733984d15a94f3c05a2408c44,Urogynaecologia International Journal,"1121-3086, 2038-8314",False,False
64c364f3990d4e86820c7de1a72aca7a,História da Historiografia,1983-9928,False,False
64ec1ae8e7174cbba09492ffeddf2c78,International Journal of Network and Mobile Technologies,2229-9114,False,False
651cdf2ed224479e89e04b91155bce8e,Psicología Política,"2340-3810, 1138-0853",False,False
6532267de3844417b36caaacf7c3fb45,Circulation Control,0389-1844,False,False
655e906649f54962acdef7d56e6311ee,Nerazrušaûŝij Kontrolʹ i Diagnostika ,"2224-5502, 2224-1752",False,False
6566eac595384f9782021be0b20e7578,Review in Psychology Research,"2327-0462, 2327-0454",False,False
657422f3e445489c8737801c6c09ce2a,The Python Papers Source Codes,1836-621X,False,False
657b3d73ca7e4e6fab61c020015761ac,Scientific Journal of Biological Sciences,2322-1968,False,False
65a7d890213f45cb8c1c498ea103f0a3,Revista Mal-estar e Subjetividade,"1518-6148, 2175-3644",False,False
65accdfdcef54120914b8137843c4de1,Australian Journal of Crop Science,"1835-2707, 1835-2693",False,False
65b021c1b11b46e19aa49742bb07f3d6,Australasian Journal of Logic,1448-5052,False,False
6601b7dcf50a4589ac79555dcc89a0ef,Journal of Planar Chromatography - Modern TLC,0933-4173,False,False
66391c8a26704220b913b38a38154699,"International Journal of Trade, Economics and Finance",2010-023X,False,False
668629287db04aa0a21132215cc43115,Trócaire Development Review,0790-9403,False,False
668cca35d2b34a20b681a6fe72c1626c,Hacia la Promoción de la Salud,0121-7577,False,False
66a2453bb6154fe78fe7086f18e9ed02,International Journal of Infrared and Millimeter Waves,"0195-9271, 1572-9559",False,False
66ec870faba74f328c547d9091c32311,Electronic Communications in Probability,1083-589X,False,False
6718b8514b7746709150ef20b0e6ad77,The Montana Mathematics Enthusiast,1551-3440,False,False
671e009f24bf4f55b30af5208f7dd8ab,International Journal of Hematology-Oncology and Stem Cell Research,"2008-2207, 2008-3009",False,False
673bee4b531b4126a0d2d8ee9ea3f1bf,Egyptian Dermatology Online Journal,1687-3831,False,False
67429b1147a54d7faa9a8113116231e7,El Mednifico Journal,2307-7301,False,False
675c4391c47a4ea49a50300efbc46369,Stamford Journal of Pharmaceutical Sciences,1999-7108,False,False
67caf1fb3b064b5ebad3022d0a9bf4e0,Journal of Genetic Genealogy,1557-3796,False,False
67e69737cc41492bbe3251ce45369c09,JurPC,"0937-1125, 1615-5335",False,False
683411bb66814b83be51d39a71449853,Journal of cell science.,"0021-9533, 1477-9137",False,False
6847b159b7be4c66b281c6404bd46625,Innovaciones de Negocios,2007-1191,False,False
68620a902d064c31b1d65982fbcf9f4c,Anthropology Matters Journal,1758-6453,False,False
688aad4bfefa42dc825211be3c059a5f,"Journal of Chemical, Biological and Physical Sciences",2249-1929,False,False
689038b78675472b9125ac6e9f1ab23e,Journal of Applied Finance and Banking,"1792-6599, 1792-6580",False,False
689cdf486edb4b09ae9c11d26744e5a7,Silva Fennica,"2242-4075, 0037-5330",False,False
68ac042f35354f159516e8b00fb8e4b9,Review of Biblical Literature,1099-0321,False,False
691008876fc546aea9333f6f7cb0e686,Chemické listy - [vyd. Československá společnost chemická],"1213-7103, 0009-2770",False,False
6925c6d9e6aa4aa7924bea3b814700ff,Arts and Social Sciences Journal,2151-6200,False,False
69724308bdef42a592326354028a76e7,Journal of Case Research in Business and Economics,1941-3378,False,False
69730591a65e46c89dbf89c0f67b37f1,OIKOS (Rio de Janeiro) ,"2236-0484, 1808-0235",False,False
69ef4e2e929840e299e5b8f79031914e,Eskişehir Osmangazi Üniversitesi Sosyal Bilimler Dergisi,1302-9703,False,False
6a0d7acd1ead44d2a0c830f25c1a3b12,Journal of Post-Colonial Cultures & Societies,"1948-1853, 1948-1845",False,False
6a5a513c7e8c4a5c95e38c292bcf8a5d,Biblica : Commentarii ad rem Biblicam Scientifice Investigandam,0006-0887,False,False
6a69ef09b94b44c29cb1edc68bb26a4c,História da Ciência e Ensino : Construindo Interfaces,2178-2911,False,False
6aa4c9c4dc2e483e9c784eee37a47101,Rhythmos,"1792-7927, 1792-7919",False,False
6b13d4fe7f544b24be12bce07aceebfc,Information Sciences for Decision Making,1265-499X,False,False
6b2ae06d3f5342dea892808024d321ce,Journal of Technical Education and Training,2229-8932,False,False
6b3095f1d7cf4432a4580f43d7b00d5b,Human heredity.,0001-5652,False,False
6b4475db46294da0a47b99791bb62043,Open Materials Science Journal,1874-088X,False,False
6b85b3233b3e4d238f16df7d445285cf,Indicios,1853-2411,False,False
6ba77b0dd76942848e85f28388cff946,Metacognition and Learning,"1556-1631, 1556-1623",False,False
6bba5075c8454c5895923990fbcddc2d,Open Hydrology Journal,1874-3781,False,False
6bdae54837a3473596e45fdce757891c,Mine Water and the Environment,"1616-1068, 1025-9112",False,False
6bec56b89d864e8b9ab566d25fa4800e,Journal of Digital Information,1368-7506,False,False
6bef6d1df8134cd6a72d8b802b7bc589,Somatosensory & Motor Research,"0899-0220, 1369-1651",False,False
6beff950b5ba4833a0d59b0ba91d3557,Peace and Conflict Review,1659-3995,False,False
6c160b0c1e68445e89c9d77f5e65740d,International Journal of Engine Research,1468-0874,False,False
6c52669aa9f24f02a4d3b27b6760b748,Computational and Applied Mathematics,"1807-0302, 2238-3603",False,False
6c89bf49fe314760943dc7e7a9fa97ac,Crystal growth and design,"1528-7505, 1528-7483",False,False
6d1d2dbe1ced4f09a6242224a90bed07,South China Fisheries Science,2095-0780,False,False
6d72a9182bf342c995e6c09cae0c5657,Datagramazero,1517-3801,False,False
6d8386a5c71447309f62db36f4260c90,Journal of the Japanese Physical Therapy Association,1344-1272,False,False
6daab984cdce46bb967a0ee54fe3b459,Griot : Revista de Filosofia,2178-1036,False,False
6dbdb8073e0e45b7a8f230ec9d5c0211,Sociology of health & illness : a journal of medical sociology,"1467-9566, 0141-9889",False,False
6dd1e4d2a12b48369d7ebc5ded23b3b7,Open Geriatric Medicine Journal,1874-8279,False,False
6ddb24a1678e4e1482f2ddb9c08d19a1,Applied Semiotics,1204-6140,False,False
6de070af20c74753923d92c6e057cd64,Acta Ecologica Sinica,1000-0933,False,False
6e36484fee4e41ea80fcabd1fd3bf6c8,Journal of Artificial Evolution and Applications,"1687-6237, 1687-6229",False,False
6e37cca259894a488831d80a6a9b2c2d,Research Opinions in Animal & Veterinary Sciences,2223-0343,False,False
6e5bdac6821a4e02b80d7d25fa424ced,Salud en Tabasco,1405-2091,False,False
6e7e82f28f8b4bf7a2bedfd760edab65,Kinesiologia Slovenica,"1318-2269, 2232-4062",False,False
6ebc5fc1b9234e2b8069543bad42f19a,International Journal of eBusiness and eGovernment Studies,XXXX-XXXX,False,False
6ebff5e0850e4e68916fe52dc85708c4,Neuropathology and Applied Neurobiology,"1365-2990, 0305-1846",False,False
6ee7a4c8c7584f599098650ec0ac83f4,Journal of Orthopaedics,0972-978X,False,False
6ef3b2d5cee44541939998cc48450220,MADERAS: Ciencia y Tecnología,"0717-3644, 0718-221X",False,False
6f7a992fc93d4150a56456b27263f225,Kliničeskaâ i Specialʹnaâ Psihologiâ,2304-0394,False,False
6f8e88fa70934569bc37a05aa4ebf283,Advances in Computational Research,"0975-9085, 0975-3273",False,False
6f96ae281d074850ad8ac3f15e49c604,Applied Ecology and Environmental Research,"1589-1623, 1785-0037",False,False
6f990ff2fc5d40eb946ba23c4274d70a,Ernstia ,0252-8274,False,False
6fa00d246ecf429dbad40355586f8b10,Research Letters in Physics,"1687-689X, 1687-6903",False,False
6fcec9d2def74934b44360e295eacc65,PrimaryCare : Schweizerische Zeitschrift fur Hausarzmedizin,"1424-3806, 1424-3776",False,False
6fddb6c468b44ce1909e855848050c9e,Cuadernos de historia,"0719-1243, 0716-1832",False,False
7010a241d5004461aceeed41551f0b9c,Transformations: Liberal Arts in the Digital Age,1545-9284,False,False
702ef803bd1b4280ae4ad90383843f9a,Bulletin of Taras Shevchenko National University of Kyiv. Series : Problems of Physiological Functions Regulation,"1728-2624, 2308-8036",False,False
7088c02a66c14f00a021f69a11c8a422,Image,1614-0885,False,False
70b482a7cc3c474bb835468a17830d1f,International Journal of Natural Sciences,"2221-1020, 2221-1012",False,False
70ccbececa334745a27c5b1f2734548d,International Electronic Journal of Environmental Education,2146-0329,False,False
7121c7cc6b914cf18ec19f348e98f706,Open Nutraceuticals Journal,1876-3960,False,False
71479ab8fa6942d8aa7ddca330e677f7,JOURNAL OF NEUROENDOCRINOLOGY,"0953-8194, 1365-2826",False,False
71976a1e3739430194d5f848f92722c3,NeoAmericanist,1718-2328,False,False
71c409d7f51b418791000c039da6184c,Ethnobiology and Conservation,2238-4782,False,False
71f0872ce07a40789b94999b04e57f3d,Revista Portuguesa de Medicina Geral e Familiar,"2182-5181, 2182-5173",False,False
7248f6c31e18473ba0140bda620bc614,Palliative Care : Research and Treatment,XXXX-XXXX,False,False
724bcf5b23f84edc9e8e37c4aa0c2959,Élisee : Revista de Geografia da UEG,2316-4360,False,False
727785b92e274fbeaa3f1c5d7e039640,Epidemiology and infection,0950-2688,False,False
72c73598d56d4d55ada23cff927f2fd1,Revista Mundos do Trabalho,1984-9222,False,False
72c75f7c09f24d5db2f9d2d3d6e878c8,International Journal of New Computer Architectures and their Applications,"2412-3587, 2220-9085",False,False
72e4ff664c7244d1b9f6b65e20e86b34,Advances in Biological Chemistry,"2162-2191, 2162-2183",False,False
72e79b1790664e98a09905ba4ab44ece,Biological Research,XXXX-XXXX,False,False
72f78f36dca149f9b42629314395465f,Visión Electrónica ,"2248-4728, 1909-9746",False,False
7326134ab2c4447c929fff22c8d06f5d,Acta Universitatis Sapientiae: Philologica,2391-8179,False,False
7328cda329214c02889d0cf71196e730,Electronic Research Announcements of the American Mathematical Society,1079-6762,False,False
732d94b3162d4a258f48573d4e3db530,Acta Scientiae et Technicae,2317-8957,False,False
7335653b02e54f91b96ddafe3ab86a5a,International Interdisciplinary Journal of Education ,"2226-2717, 2226-3500",False,False
734ce487f88e429bb5b96a41f3eb92e7,Žemdirbystė,1392-3196,False,False
7396608e01b542bd87920f1b4d99bd65,The Internet Journal of Nutrition and Wellness,1937-8297,False,False
73d44a7342634ea6a89a534ab4fe9efe,Open Veterinary Science Journal,1874-3188,False,False
73de182931664323b3b8baa07cc0e002,Journal of Bangladesh College of Physicians and Surgeons,1015-0870,False,False
73f876ce605a4fbea52f3dc1a623509f,The Internet Journal of Ophthalmology and Visual Science,1528-8269,False,False
742435f3c0aa4260bb2e84f25aba2f82,Inquiries in Sport & Physical Education,1790-3041,False,False
74246849058845bfb8ca170deb68129d,Epigenetics,"1559-2308, 1559-2294",False,False
74388f8dd17e42f8b77ab4948686cff2,Revista Escrita,1679-6888,False,False
744f92b6843b480e9fd8a406d5d26fdc,Ganpat University Journal of Engineering & Technology,"2231-2390, 2231-2382",False,False
7478129c65e149b1a6d34625a606391a,Analele Universitatii Bucuresti : Chimie,"1844-0401, 1220-871X",False,False
749b3ee35f6a464ba2d0bac985306bb4,Revista Mexicana de Sociología ,0188-2503,False,False
749d9cf197ec41068d804772decd5460,HIV/AIDS Policy & Law Review,1712-624X,False,False
74cc3bb410dd48e39bddbac9bcd0a130,Jornal de Pneumologia,"1678-4642, 0102-3586",False,False
74cfca141d724ce1a95c54cd3faceec4,Medicina Intensiva,"1578-6749, 0210-5691",False,False
74d73031ee974900a43ce47df46a2c3f,Iranian Journal of Endocrinology and Metabolism,"1683-4844, 1683-5476",False,False
74e06b8ad7dd4f199fed745544059afe,Paediatrica,"1728-239X, 1728-2403",False,False
75384657d074480f9a260aca850086bc,The South Asianist,2050-487X,False,False
7544cedd9fe74d99b983d5def409ab4c,Cardiovascular research,0008-6363,False,False
75611ca43dcb41efbc3df9a916c38087,Open Journal of Anesthesiology  ,"2164-5558, 2164-5531",False,False
75691149cb6c45da9040ba04ccc5cedd,Ecological and Environmental Anthropology,1554-2408,False,False
75846785edff4f1dbbe491bc71ad33c2,The Bonefolder : an e-Journal for the Bookbinder and Book Artist,1555-6565,False,False
75c2ce8a9c94493f8ff3af7423b15839,Bonfring International Journal of Industrial Engineering and Management Science,"2277-5056, 2250-1096",False,False
75ed2ca950b049a8a64007c1d00fd6f1,International Journal of Pharmaceutical and Biological Research,0976-285X,False,False
75f3cae0a076413f9644bb6795e01221,Open Sociology Journal  ,1874-9461,False,False
75f6d683473141afb1a683730beefd1e,Acta Technica Napocensis : Civil Engineering & Architecture,1221-5848,False,False
76436fe5b80a411cba39be8617b9ff2e,World Journal of Radiology ,1949-8470,False,False
765f351814b948d3afaeefc378734941,Actualidades en Psicología,"0258-6444, 2215-3535",False,False
76ae68e293804fa4afafbeb88c97030c,Actas Urológicas Españolas,"0210-4806, 1699-7980",False,False
76dcf02da65745f3aee42beca132f0d7,Issues in Comprehensive Pediatric Nursing,"0146-0862, 1521-043X",False,False
770d75ce0b0c4f0383891a452fb50d62,Chemical Engineering Research Bulletin,"2072-9510, 0379-7678",False,False
7764a130832646d59a22a15b71981e4e,Journal of Universal College of Medical Sciences,2091-2846,False,False
77b6ee4c5c7849cb91bffd2eb53250a0,Transplantationsmedizin,0946-9648,False,False
78194d9be9424029b6b58d06d79f560a,Columbia Undergraduate Science Journal,"1932-7641, 1932-765X",False,False
7823bc5f6edc4a39b6bb40cdc7864b70,Gut : the journal of the British society of gastroenterology,"1468-3288, 0017-5749",False,False
7828beef6a0b40ee9a16393a897ecc84,Análisis Económico,0185-3937,False,False
7829a4965a9e424fad8159b251a035be,Teaching American Literature : A Journal of Theory and Practice,2150-3974,False,False
786236064b5445d39415bf6bca909ec9,Circulation Journal,"1346-9843, 1347-4820",False,False
78a5b8c2ad7945c98f6c2798b9ca67a4,TEXTOS de la CiberSociedad,1577-3760,False,False
78e2eecc82dc48658f4fa8aa2af1fe92,Actas Peruanas de Anestesiología,"1021-2272, 2224-4921",False,False
793c89255c7d48c4a90c8632a8ed5de0,Iranian Rehabilitation Journal ,XXXX-XXXX,False,False
795682bdc3294b99a7dcf6b71b5255ed,CES Odontologia,0120-971X,False,False
797f1291e7b74a67afa1dc11fdc507e0,Open Urology & Nephrology Journal,1874-303X,False,False
799c4580f58247ebb9bc1d66097d55f9,INTERCOM,0102-6453,False,False
7a06536b7d54471d8c6e262873b890df,Skeletal Radiology,"1432-2161, 0364-2348",False,False
7a0dae8e379f43db825ada5962dbf7ed,Revista Mexicana de Micología ,0187-3180,False,False
7a113176cc544d18889e8170f6c2e67d,Cerebrovascular Diseases,1015-9770,False,False
7a3c72e417e04e938a44b312936b878b,Acta Biochimica et Biophysica Sinica (ABBS),1672-9145,False,False
7a4dd8773ffe4b8497bbf3ac593c7288,Journal of Biotechnology and Biodiversity,2179-4804,False,False
7a87975e8bec4fb285b3144c6f1c9be8,Scandinavian journal of immunology.,"1365-3083, 0300-9475",False,False
7aa77163572c44e08d4cc30fedcd3e89,Journal of Biopesticides,0974-391X,False,False
7ab3e941aa6a4820a90ee5128502226f,Open Vaccine Journal,1875-0354,False,False
7ac8142b1dc5450993a1ae68c814dc41,Opuscula Archaeologica,0473-0992,False,False
7af783caa6184dc0956bc1a8c3564a11,Neurology India,"1998-4022, 0028-3886",False,False
7afbf37e26374269ae1bc44b6316d78f,Bonfring International Journal of Power Systems and Integrated Circuits,"2250-1088, 2277-5072",False,False
7b3a86060f6443db84a2e97106763585,Geografia Ensino & Pesquisa,"2236-4994, 0103-1538",False,False
7b3acba5d921471e98f3383773a9b02f,Neuroscience and Behavioral  Physiology,"0097-0549, 1573-899X",False,False
7b3ce79bb32f408595bebe012a6d2e5f,Applicable Analysis,"0003-6811, 1563-504X",False,False
7b40d167158447a6a8db6cf66aa34da6,"Theoria, Beograd",0351-2274,False,False
7b4ccc2e28da47e2b4399a31b502b6c8,Biota Neotropica,1676-0611,False,False
7b5c98c5f0554cfcab309468572cb17b,Folia Cryptogamica Estonica,"1736-7786, 1406-2070",False,False
7bb3e1fe70b14ea3bb6e78526e6e007e,Canadian journal of civil engineering : Revue canadienne de génie civil,"1208-6029, 0315-1468",False,False
7bd56b11459f4d4bb45176c6b4be36d1,Revista Cubana de Ciencias Informáticas,"1994-1536, 2227-1899",False,False
7bfe0b31e3744a5692cbcd8038a5ebc5,Scientific Annals of the Danube Delta Institute,"2247-9902, 1842-614X",False,False
7bff1303e86740949605bcb198b19995,"Plagiary : Cross-Disciplinary Studies in Plagiarism, Fabrication, and Falsification",1559-3096,False,False
7c112080b68348cfa4497f7544b4cadb,National Journal of Otorhinolaryngology and Head and Neck Surgery,2320-6578,False,False
7c45ef06bb00448cbae479b0b6e260a4,Fasti Online Documents & Research : Italia,1828-3179,False,False
7c4655c4c3b449d693caaf3372281781,Journal of Biosciences,0250-5991,False,False
7c5609cca1294741ab4e1179f324d352,Scire Salutis,2236-9600,False,False
7c6e049e9f8f4a08805b3b054ef11abc,Chiroptera Neotropical ,1413-4403,False,False
7c73e1f22f9d4c83896b2d7319424195,Wireless Engineering and Technology,"2152-2308, 2152-2294",False,False
7c78a6455a9147ef87706741f4f4fb9e,Ciencia y Sociedad,0378-7680,False,False
7cac259492ae4a18925deb8550d2f624,African Population Studies  ,"0850-5780, 2308-7854",False,False
7cb4a1b9cad848e989b082a8691047b4,Philomusica,1826-9001,False,False
7cd21489efcc446487cadb14ba9eeaa0,Canadian Journal of Educational Administration and Policy,1207-7798,False,False
7cdad8de6ffc4102b2180c225721f01d,Open Rehabilitation Journal,1874-9437,False,False
7cdf4bab5c1746028ad8758dfa3d151d,Journal of Innovative Trends in Pharmaceutical Sciences,0975-8593,False,False
7ce90ea1d8ed49f2ae273c930fb408af,Egyptian Academic Journal of Biological Sciences : Entomology,"1687-8809, 2090-0813",False,False
7cf4d55e6f394360929f8958e6dbc1c2,Revista Cubana de Pediatría,"1561-3119, 0034-7531",False,False
7cfb0e8f4d254631927446c0e2208976,Nonlinear Analysis : Modelling and Control,1392-5113,False,False
7d2b7acf125d4e13b554993588367e5c,Research in Kinesiology,1857-7679,False,False
7d46eda6cd93474bb7fd663e77a2f46f,Journal of Textbook Research,"1999-8864, 1999-8856",False,False
7d52b0b16f7241c4a8e60b83b2b0a07c,Serbian Journal of Sports Sciences,"1452-8827, 1820-6301",False,False
7d6eebe023ab47aeb428a18311edbd74,Neural Regeneration Research,"1673-5374, 1876-7958",False,False
7d9da9854f404868b5c25d0f9538d775,African Zoology,"2224-073X, 1562-7020",False,False
7da68539dc9e4e56b1adfc0dd9a202f1,Research Journal of Biological Sciences,"1815-8846, 1993-6087",False,False
7db6c47f20604f0ebbed072f277e34bf,Multidimensional Systems and Signal Processing,"0923-6082, 1573-0824",False,False
