A,RDF10
Q1-390,RDF1050205
Q300-390,RDF1050206
Q350-390,RDF1050207
QA1-939,RDF1050208
QA273-280,RDF1050299
QA299.6-433,RDF10503
QA71-90,RDF1050301
QA75.5-76.95,RDF1050302
QA76.75-76.765,RDF1050303
QA801-939,RDF1050304
QB1-991,RDF1050305
QB275-343,RDF1050306
QB460-466,RDF1050307
QC1-75,RDF1050308
QC1-999,RDF1050309
QC120-168.85,RDF1050310
QC170-197,RDF1050311
QC221-246,RDF1050312
QC251-338.5,RDF1050313
QC310.15-319,RDF1050314
QC350-467,RDF1050315
QC501-721,RDF1050316
QC501-766,RDF1050399
QC717.6-718.8,RDF10504
QC770-798,RDF1050401
QC793-793.5,RDF1050402
QC794.95-798,RDF1050403
QC801-809,RDF1050404
QC811-849,RDF1050405
QC851-999,RDF1050406
QD1-65,RDF1050407
QD1-999,RDF1050408
QD146-197,RDF1050409
QD241-441,RDF1050499
QD415-436,RDF10505
QD450-801,RDF1050501
QD71-142,RDF1050502
QD901-999,RDF1050503
QE1-996.5,RDF1050504
QE351-399.2,RDF1050505
QE420-499,RDF1050506
QE500-639.5,RDF1050507
QE640-699,RDF1050508
QE701-760,RDF1050509
QH1-199.5,RDF1050510
QH1-278.5,RDF1050511
QH201-278.5,RDF1050599
QH301-705.5,RDF10506
QH359-425,RDF1050601
QH426-470,RDF1050602
QH471-489,RDF1050603
QH501-531,RDF1050604
QH540-549.5,RDF1050605
QH573-671,RDF1050606
QH705-705.5,RDF1050607
QK1-989,RDF1050699
QK900-989,RDF10507
QL1-991,RDF1050701
QM1-695,RDF1050702
QP1-981,RDF1050703
QP351-495,RDF1050704
QP501-801,RDF1050705
QR1-502,RDF1050706
QR100-130,RDF1050707
R,RDF1050799
R131-687,RDF10508
R5-130.5,RDF1050801
R5-920,RDF1050802
R723-726,RDF1050803
R855-855.5,RDF1050899
R858-859.7,RDF10509
R895-920,RDF1050901
RA1-1270,RDF1050902
RA1190-1270,RDF1050999
RB1-214,RDF10510
RC109-216,RDF1051001
RC1200-1245,RDF1051002
RC254-282,RDF1051003
RC31-1245,RDF1051004
RC321-571,RDF1051005
RC346-429,RDF1051006
RC435-571,RDF1051007
RC475-489,RDF1051008
RC581-607,RDF1051009
RC581-951,RDF1051010
RC620-627,RDF1051099
RC633-647.5,RDF10511
RC648-665,RDF1051101
RC666-701,RDF1051102
RC705-779,RDF1051103
RC799-869,RDF1051104
RC86-88.9,RDF1051105
RC870-923,RDF1051106
RC925-935,RDF1051107
RC952-1245,RDF1051108
RC952-954.6,RDF1051109
RC955-962,RDF1051199
RC963-969,RDF10599
RD1-811,RDF1059901
RD701-811,RDF1059999
RD78.3-87.3,RDF106
RE1-994,RDF10601
RF1-547,RDF1060101
RG1-991,RDF1060102
RJ1-570,RDF1060103
RK1-715,RDF1060104
RL1-803,RDF1060105
RM1-950,RDF1060106
RS1-441,RDF1060107
RT1-120,RDF1060108
RX1-681,RDF1060109
RZ201-275,RDF1060110
RZ201-999,RDF1060111
RZ301-397.5,RDF1060112
RZ399,RDF1060113
RZ400-408,RDF1060199
RZ409.7-999,RDF10602
S,RDF1060201
S1-972,RDF1060202
SB1-1110,RDF1060203
SD1-669.5,RDF1060204
SF1-1100,RDF1060205
SF191-275,RDF1060206
SF221-250,RDF1060207
SF250.5-275,RDF1060208
SF600-1100,RDF1060209
SH1-691,RDF1060210
SK1-664,RDF1060211
T,RDF1060299
T1-995,RDF10603
T11.95-12.5,RDF1060301
T351-385,RDF1060302
T55-55.3,RDF1060303
T55.4-60.8,RDF1060304
T57-57.97,RDF1060305
T58.5-58.64,RDF1060306
T58.6-58.62,RDF1060307
T58.7-58.8,RDF1060308
T59.5,RDF1060309
TA1-2040,RDF1060310
TA1001-1280,RDF1060311
TA1501-1820,RDF1060312
TA168,RDF1060313
TA170-171,RDF1060399
TA174,RDF10604
TA177.4-185,RDF1060401
TA2001-2040,RDF1060402
TA213-215,RDF1060403
TA349-359,RDF1060404
TA365-367,RDF1060405
TA401-492,RDF1060499
TA495,RDF10605
TA501-625,RDF1060501
TA630-695,RDF1060502
TA703-712,RDF1060503
TA715-787,RDF1060504
TC1-978,RDF1060505
TC1501-1800,RDF1060506
TC160-181,RDF1060507
TC203-380,RDF1060508
TC401-506,RDF1060509
TC530-537,RDF1060510
TC601-791,RDF1060511
TC801-978,RDF1060512
TD1-1066,RDF1060599
TD1020-1066,RDF10606
TD169-171.8,RDF1060601
TD172-193.5,RDF1060602
TD194-195,RDF1060603
TD201-500,RDF1060604
TD511-780,RDF1060605
TD783-812.5,RDF1060606
TD878-894,RDF1060607
TD920-934,RDF1060608
TE1-450,RDF1060609
TF1-1620,RDF1060610
TG1-470,RDF1060611
TH1-9745,RDF1060612
TH1000-1725,RDF1060613
TH2025-3000,RDF1060614
TH7005-7699,RDF1060615
TH845-895,RDF1060616
TH9025-9745,RDF1060699
TJ1-1570,RDF10607
TJ163.26-163.5,RDF1060701
TJ212-225,RDF1060702
TJ227-240,RDF1060703
TJ807-830,RDF1060704
TK1-9971,RDF1060705
TK1001-1841,RDF1060706
TK3001-3521,RDF1060707
TK4001-4102,RDF1060708
TK452-454.4,RDF1060709
TK5101-6720,RDF1060799
TK7800-8360,RDF10608
TK7885-7895,RDF1060801
TK9001-9401,RDF1060802
TL1-4050,RDF1060803
TN1-997,RDF1060804
TP1-1185,RDF1060805
TP1080-1185,RDF1060806
TP155-156,RDF1060807
TP200-248,RDF1060808
TP248.13-248.65,RDF1060809
TP250-261,RDF1060810
TP267.5-301,RDF1060811
TP315-360,RDF1060899
TP368-456,RDF10609
TP480-498,RDF1060901
TP500-660,RDF1060902
TP670-699,RDF1060903
TP690-692.5,RDF1060904
TP751-762,RDF1060905
TP785-869,RDF1060906
TP875-888,RDF1060907
TP890-933,RDF1060908
TP934-945,RDF1060909
TR1-1050,RDF1060910
TS1-2301,RDF1060911
TS155-194,RDF1060912
TS195-198.8,RDF1060999
TT1-999,RDF10610
TX1-1110,RDF1061001
TX341-641,RDF1061002
TX642-840,RDF1061003
TX901-946.5,RDF1061004
U,RDF1061005
V,RDF1061006
VM1-989,RDF1061007
Z,RDF1061008
Z1001-1121,RDF1061009
Z1001-8999,RDF1061010
ZA3040-5185,RDF1061011
ag,RDF1061012
