field,test_id,module,stage,reviewer,action,actor,has_minimal_review,label,state_id,result_module,result_stage,result_reviewer,initial_legacy_status,result_legacy_status,initial_legacy_eg,result_legacy_eg,error
conditional result_stage,,triage,in_progress,,event_reassign_triage,admin,no,,,,in_progress,,,,,,
conditional result_stage,,triage,minimal_review,,event_rescind_minimal_review,assigned_triage|admin,,,,,in_progress,,,,,,
conditional result_stage,,triage,,none,event_claim,unassigned_triage,yes,,,,minimal_review,,,,,,
conditional result_stage,,triage,,none,event_assign_triage,admin,yes,,,,minimal_review,,,,,,
conditional result_stage,,triage,in_progress,,event_minimal_review,assigned_triage|admin,,,,,minimal_review,,,,,,
conditional result_stage,,triage,minimal_review,,event_reassign_triage,admin,yes,,,,minimal_review,,,,,,
,,,,,,,,,,,,,,,,,
conditional result_reviewer,,,,,event_unclaim|event_unassign|event_fail|event_triaged,,,,,,,none,,,,,
conditional result_reviewer,,,,,event_claim|event_assign_triage|event_reassign_triage,,,,,,,assigned,,,,,
,,,,,,,,,,,,,,,,,
conditional initial_legacy_status,,,,none,,,,,,,,,pending,,,,
conditional initial_legacy_status,,,,!none,,,,,,,,,in progress,,,,
,,,,,,,,,,,,,,,,,
conditional result_legacy_status,,,,,event_unclaim|event_unassign,,,,,,,,,pending,,,
conditional result_legacy_status,,,,,event_claim|event_assign_triage|event_reassign_triage|event_rescind_minimal_review|event_minimal_review|event_triaged,,,,,,,,,in progress,,,
conditional result_legacy_status,,,,,action_edit,,,,,,,,,in progress,,,
conditional result_legacy_status,,,,,event_fail,,,,,,,,,rejected,,,
,,,,,,,,,,,,,,,,,
conditional result_legacy_eg,,,,,event_fail|event_triaged,,,,,,,,,,,none,
,,,,,,,,,,,,,,,,,
conditional error,,,,,event_claim,unassigned_non_triage|admin,,,,,,,,,,,AuthoriseException
conditional error,,,,,event_assign_triage,!admin,,,,,,,,,,,AuthoriseException
conditional error,,,,,event_assign_non_triage,,,,,,,,,,,,AuthoriseException
conditional error,,,,,action_edit,assigned_non_triage|unassigned_triage|unassigned_non_triage,,,,,,,,,,,AuthoriseException
conditional error,,,,,event_unclaim,admin|unassigned_triage|unassigned_non_triage,,,,,,,,,,,AuthoriseException
conditional error,,,,,event_unassign,!admin,,,,,,,,,,,AuthoriseException
conditional error,,,,,event_reassign_triage,!admin,,,,,,,,,,,AuthoriseException
conditional error,,,,,event_reassign_non_triage,,,,,,,,,,,,AuthoriseException
conditional error,,,,,event_minimal_review,assigned_non_triage|unassigned_triage|unassigned_non_triage,,,,,,,,,,,AuthoriseException
conditional error,,,,,event_fail,!assigned_triage,,,,,,,,,,,AuthoriseException
conditional error,,,,,event_rescind_minimal_review,assigned_non_triage|unassigned_triage|unassigned_non_triage,,,,,,,,,,,AuthoriseException
conditional error,,,,,event_triaged,!assigned_triage,,,,,,,,,,,AuthoriseException
