location,fuzzy,msgid,msgstr
forms/application_forms.py:281; forms/application_forms.py:313; forms/application_forms.py:328; forms/application_forms.py:338; forms/application_forms.py:358; forms/application_forms.py:391; forms/application_forms.py:406; forms/application_forms.py:416,No,The ISSN must match what is given on the journal website.,L'ISSN doit correspondre à celui indiqué sur le site web de la revue.
forms/application_forms.py:282,No,"For example, 2049-3630","Par exemple, 2049-3630"
forms/application_forms.py:283; forms/application_forms.py:315; forms/application_forms.py:330; forms/application_forms.py:340; forms/application_forms.py:360; forms/application_forms.py:393; forms/application_forms.py:408; forms/application_forms.py:418,No,ISSN must be provided,Vous devez fournir une URL
forms/application_forms.py:287; forms/application_forms.py:301; forms/application_forms.py:364; forms/application_forms.py:379; forms/application_forms.py:425,No,You must provide <strong>one or both</strong> an online ISSN or a print ISSN,"Vous devez fournir un ISSN numérique, un ISSN imprimé <strong>ou les deux</strong>."
forms/application_forms.py:288; forms/application_forms.py:302; forms/application_forms.py:365; forms/application_forms.py:380; forms/application_forms.py:426; forms/application_forms.py:1821; forms/application_forms.py:1849,No,This is not a valid ISSN,Ceci n'est pas un ISSN valide
forms/application_forms.py:289; forms/application_forms.py:304,No,This field must contain a different value to 'ISSN (online)',Ce champ doit contenir une valeur différente de celle sous ISSN (numérique)
forms/application_forms.py:352,No,ISSN (online),ISSN (numérique)
forms/application_forms.py:359,No,"For example, 0378-5955","Par exemple, 0378-5955"
forms/application_forms.py:367; forms/application_forms.py:382; forms/application_forms.py:428,No,This field must contain a different value to 'ISSN (print)',Ce champ doit contenir une valeur différente de celle sous ISSN (imprimé)
forms/application_forms.py:437,No,Up to 6 subject keywords in English,Jusqu’à 6 mots-clés en anglais
forms/application_forms.py:440,No,Choose up to 6 keywords that describe the journal's subject matter. Keywords must be in English.,Inscrivez jusqu'à 6 mots-clés qui décrivent le sujet de la revue. Les mots-clés doivent être en anglais.
forms/application_forms.py:441,No,Use single words or short phrases (2 to 3 words) that describe the journal's main topic.,Utilisez des mots uniques ou de courtes expressions (2 à 3 mots) qui décrivent le thème principal de la revue.
forms/application_forms.py:443,No,"Do not add acronyms, abbreviations or descriptive sentences.","N’incluez pas d'acronymes, d'abréviations ou de phrases descriptives."
forms/application_forms.py:444,No,Note that the keywords may be edited by DOAJ editorial staff.,Notez que les mots-clés peuvent être modifiés par l’équipe éditoriale du DOAJ.
forms/application_forms.py:447,No,Enter at least <strong>one subject keyword</strong> in English,"Saisissez au moins <strong>un mot-clé sujet</strong>, en anglais"
forms/application_forms.py:468,No,Languages in which the journal accepts manuscripts,Langues dans lesquelles la revue accepte des manuscrits
forms/application_forms.py:477,No,Enter <strong>at least one</strong> language,Sélectionnez <strong>au moins une</strong> langues
forms/application_forms.py:485,No,Type or select the language,Entrez ou sélectionnez la langue
forms/application_forms.py:495,No,Publisher's name,Nom de l'éditeur
forms/application_forms.py:498; forms/application_forms.py:523; forms/application_forms.py:532,No,Enter the name of the journal's publisher,Indiquez le nom de l'éditeur
forms/application_forms.py:507,No,Type or select the publisher's name,Entrez ou sélectionnez le nom de l'éditeur
forms/application_forms.py:525; forms/application_forms.py:534; forms/application_forms.py:613; forms/application_forms.py:619,No,The Publisher's name and Other organisation's name cannot be the same.,Les champs Nom de l'éditeur et Autre organisation doivent être différents
forms/application_forms.py:561,No,Publisher's country,Pays de l'éditeur
forms/application_forms.py:566,No,The country where the publisher carries out its business operations and is registered.,Le pays où l’éditeur est enregistré et exerce ses activités.
forms/application_forms.py:567,No,You must provide a publisher country,Vous devez fournir une URL
forms/application_forms.py:568; forms/application_forms.py:660,No,Type or select the country,Entrez ou sélectionnez le pays
forms/application_forms.py:572,No,Enter the <strong>country</strong> where the publisher carries out its business operations and is registered,Saisissez <strong>le pays</strong> où l’éditeur est enregistré et exerce ses activités.
forms/application_forms.py:593,No,Other organisation's name,Nom de l’autre organisation
forms/application_forms.py:597,No,Any other organisation associated with the journal,N’importe quelle autre organisation associée à la revue
forms/application_forms.py:599,No,"The journal may be owned, funded, sponsored, or supported by another organisation that is not the publisher. If your journal is linked to a second organisation, enter its name here.","La revue peut être détenue, financée, parrainée ou soutenue par une autre organisation qui n'est pas l'éditeur. Si votre revue est liée à une deuxième organisation, inscrivez son nom ici."
forms/application_forms.py:602,No,Type or select the other organisation's name,Entrez ou sélectionnez le nom de l'organisation
forms/application_forms.py:653,No,Other organisation's country,Pays de l’autre organisation
forms/application_forms.py:659,No,The country in which the other organisation is based,Pays dans lequel cette autre organisation exerce ses activités
forms/application_forms.py:672; forms/application_forms.py:683,Yes,'You must provide the other organization's name. You cannot provide just the country.,Vous devez fournir le nom de l'autre organisation et non seulement le pays
forms/application_forms.py:697,No,License(s) permitted by the journal,Licence(s) autorisée(s) par la revue
forms/application_forms.py:701,No,CC BY,CC BY
forms/application_forms.py:702,No,CC BY-SA,CC BY-SA
forms/application_forms.py:703,No,CC BY-ND,CC BY-ND
forms/application_forms.py:704,No,CC BY-NC,CC BY-NC
forms/application_forms.py:705,No,CC BY-NC-SA,CC BY-NC-SA
forms/application_forms.py:706,No,CC BY-NC-ND,CC BY-NC-ND
forms/application_forms.py:707,No,CC0,CC0
forms/application_forms.py:708,No,Public domain,Domaine public
forms/application_forms.py:709,No,Publisher's own license,Licence de l’éditeur
forms/application_forms.py:713,Yes,The journal must use some form of licensing to be considered for indexing in DOAJ. ,La revue doit accorder certains droits d’utilisation via une licence pour être éligible à l'indexation dans le DOAJ.
forms/application_forms.py:714,No,"If Creative Commons licensing is not used, then select <em>Publisher's own license</em> and enter more details below.","Si aucune licence Creative Commons n'est utilisée, sélectionnez <em>Licence de l’éditeur</em> et donnez plus de détails ci-dessous."
forms/application_forms.py:716,No,More information on CC licenses: <br/><a href='https://creativecommons.org/licenses/by/4.0/' target='_blank' 'rel='noopener'>CC BY</a> <br/><a href='https://creativecommons.org/licenses/by-sa/4.0/' target='_blank' 'rel='noopener'>CC BY-SA</a> <br/><a href='https://creativecommons.org/licenses/by-nd/4.0/' target='_blank' 'rel='noopener'>CC BY-ND</a> <br/><a href='https://creativecommons.org/licenses/by-nc/4.0/' target='_blank' 'rel='noopener'>CC BY-NC</a> <br/><a href='https://creativecommons.org/licenses/by-nc-sa/4.0/' target='_blank' 'rel='noopener'>CC BY-NC-SA</a> <br/><a href='https://creativecommons.org/licenses/by-nc-nd/4.0/' target='_blank' 'rel='noopener'>CC BY-NC-ND</a>,Plus d'information sur les licences CC :<br/><a href='https://creativecommons.org/licenses/by/4.0/deed.fr' target='_blank''rel='noopener'>CC BY</a> <br/><a href='https://creativecommons.org/licenses/by-sa/4.0/deed.fr' target='_blank''rel='noopener'>CC BY-SA</a> <br/><a href='https://creativecommons.org/licenses/by-nd/4.0/deed.fr' target='_blank''rel='noopener'>CC BY-ND</a> <br/><a href='https://creativecommons.org/licenses/by-nc/4.0/deed.fr' target='_blank''rel='noopener'>CC BY-NC</a> <br/><a href='https://creativecommons.org/licenses/by-nc-sa/4.0/deed.fr' target='_blank''rel='noopener'>CC BY-NC-SA</a> <br/><a href='https://creativecommons.org/licenses/by-nc-nd/4.0/deed.fr' target='_blank''rel='noopener'>CC BY-NC-ND</a>
forms/application_forms.py:729,No,"<a href='https://wiki.creativecommons.org/wiki/CC0_FAQ#What_is_the_difference_between_CC0_and_the_Public_Domain_Mark_.28.22PDM.22.29.3F' target='_blank' rel='noopener'>What is the difference between CC0 and the Public Domain Mark (\""PDM\"")?</a>","<a href='https://wiki.creativecommons.org/wiki/CC0_FAQ#What_is_the_difference_between_CC0_and_the_Public_Domain_Mark_.28.22PDM.22.29.3F' target='_blank' rel='noopener'>Quelle est la différence entre CC0 et la marque du domaine public (\""PDM\"")?</a> (en anglais)"
forms/application_forms.py:734; forms/application_forms.py:757,No,Content must be licensed,Une licence doit être fournie
forms/application_forms.py:737,No,Select <strong>at least one</strong> type of license,Sélectionnez <strong>au moins un</strong> type de licence
forms/application_forms.py:744,No,Select all the attributes that your license has,Sélectionnez tous les attributs correspondant à votre licence
forms/application_forms.py:751,No,Attribution,Attribution
forms/application_forms.py:752,No,Share Alike,Partage dans les mêmes conditions
forms/application_forms.py:753,No,No Derivatives,Pas d'oeuvre dérivée / Pas de modification
forms/application_forms.py:754,No,No Commercial Usage,Utilisation non commerciale
forms/application_forms.py:764; forms/application_forms.py:855; forms/application_forms.py:942; forms/application_forms.py:1007; forms/application_forms.py:1212; forms/application_forms.py:1259; forms/application_forms.py:1308; forms/application_forms.py:1428; forms/application_forms.py:1528,No,Where can we find this information?,Où se trouve cette information?
forms/application_forms.py:768,No,Enter the URL for the journal’s <strong>license terms</strong> page,Saisissez l'URL où se trouvent les <strong>informations sur les licences</strong>
forms/application_forms.py:772,No,Link to the page where the license terms are stated on your site.,Lien vers la page de votre site où se trouvent les termes de la licence ou les conditions d’utilisation.
forms/application_forms.py:773,No,You must provide a link to your license terms,Vous devez fournir une URL
forms/application_forms.py:774,No,https://www.my-journal.com/about#licensing,https://www.my-journal.com/about#licensing
forms/application_forms.py:785,No,Does the journal embed and/or display licensing information in its articles?,La revue intègre-t-elle ou affiche-t-elle ses licences ou les conditions d’utilisation dans ses articles?
forms/application_forms.py:792,No,It is recommended that licensing information is included in full-text articles but it is not required for inclusion. Answer <strong>Yes</strong> if licensing is displayed or embedded in all versions of each article.,"Il est recommandé d’afficher les informations relatives aux licences ou aux conditions d’utilisation dans les articles en texte intégral, mais cela n’est pas obligatoire pour une inclusion au DOAJ. Répondez <strong>Oui</strong> si les informations relatives aux licences sont affichées ou intégrées dans toutes les versions des articles. "
forms/application_forms.py:798; forms/application_forms.py:840; forms/application_forms.py:1000; forms/application_forms.py:1123; forms/application_forms.py:1252; forms/application_forms.py:1301,No,Select Yes or No,Sélectionnez Oui ou Non
forms/application_forms.py:805,No,Recent article displaying or embedding a license in the full text,Article récent où la licence est intégrée ou affichée dans le texte intégral.
forms/application_forms.py:811,No,Link to an example article,Lien vers un exemple d'article
forms/application_forms.py:818,No,Enter the URL for any recent article that displays or embeds a license,Saisissez l'URL d'un article récent où la licence est intégrée ou affichée
forms/application_forms.py:832,No,"For all the licenses you have indicated above, do authors retain the copyright <b>and</b> full publishing rights without restrictions?","Pour toutes les conditions ou licences indiquées ci-dessus, les auteur·trices conservent-ils leur droit d'auteur <b>et</b> tous les droits de publication sans restriction?"
forms/application_forms.py:843,No,Answer <strong>No</strong> if authors transfer copyright or assign exclusive rights to the publisher (including commercial rights). <br/><br/> Answer <strong>Yes</strong> only if authors publishing under any license allowed by the journal retain all rights.,Répondez <strong>Non</strong> si les auteur·trices transfèrent leur droit d'auteur ou cèdent des droits exclusifs à l'éditeur (y compris les droits commerciaux).<br/><br/>Répondez <strong>Oui</strong> seulement si les auteur·trices conservent tous les droits.
forms/application_forms.py:857,No,Copyright terms,Les droits d'auteur
forms/application_forms.py:859,No,Link to the journal’s copyright terms,Saisissez l'URL où se trouvent les modalités du droit d'auteur
forms/application_forms.py:872,No,Enter the URL for the journal’s <strong>copyright terms</strong> page,Saisissez l'URL où se trouvent <strong>les modalités du droit d'auteur</strong>
forms/application_forms.py:888,No,DOAJ only accepts peer-reviewed journals. Which type(s) of peer review does this journal use?,DOAJ accepte seulement les revues évaluées par les pair·es. Quel(s) type(s) d’évaluation par les pair·es la revue utilise-t-elle?
forms/application_forms.py:893,No,Editorial review,Évaluation éditoriale
forms/application_forms.py:894; forms/application_forms.py:2195,No,Peer review,Évaluation par les pair·es
forms/application_forms.py:895,No,Anonymous peer review,Évaluation par les pair·es anonyme
forms/application_forms.py:896,No,Double anonymous peer review,Évaluation par les pair·es en double anonyme
forms/application_forms.py:897,No,Post-publication peer review,Évaluation par les pair·es après publication
forms/application_forms.py:898,No,Open peer review,Évaluation par les pair·es ouverte
forms/application_forms.py:899; forms/application_forms.py:1349; forms/application_forms.py:1598; forms/application_forms.py:2689,No,Other,Autre
forms/application_forms.py:902,No,"Enter all types of review used by the journal for research articles. Note that editorial review is only accepted for <a href='https://doaj.org/apply/guide/#arts-and-humanities-journals' target='_blank' rel='nofollow'>arts and humanities journals</a>.For a detailed description of the peer review types, see <a href='https://docs.google.com/document/d/1ADiVPR7tY8a9JKr2VjFEXbNG7FIpz22nOPDDPfRzJxA/edit?tab=t.0' target='_blank' rel='nofollow'>this summary</a>.",
forms/application_forms.py:907,No,Peer review must be carried out,La revue doit assurer une évaluation par les pairs
forms/application_forms.py:910,No,Select <strong>at least one</strong> type of review process,Sélectionnez <strong>au moins un</strong> type d'évaluation
forms/application_forms.py:917; forms/application_forms.py:920,No,Other peer review,Autre forme d'évaluation par les pair·e·s
forms/application_forms.py:927,No,Enter the name of another type of peer review,Indiquez l'autre type d'évaluation
forms/application_forms.py:944,No,Peer review policy,Politique d'évaluation par les pairs
forms/application_forms.py:946; forms/application_forms.py:1012; forms/application_forms.py:1039; forms/application_forms.py:1058; forms/application_forms.py:1077; forms/application_forms.py:1219; forms/application_forms.py:1267; forms/application_forms.py:1316; forms/application_forms.py:1433; forms/application_forms.py:1537,No,You must provide a URL,Vous devez fournir une URL
forms/application_forms.py:947,No,Link to the journal’s peer review policy,Lien vers la politique d’évaluation par les pair·e·s de la revue
forms/application_forms.py:950,No,Enter the URL for the journal’s <strong>peer review policy</strong> page,Saisissez l'URL où se trouve <strong>la politique d'évaluation</strong>
forms/application_forms.py:962,No,When did the journal start to publish all content using an open license?,Quand la revue a-t-elle commencé à publier son contenu sous une licence ouverte?
forms/application_forms.py:967,No,"Please enter the year that the journal started to publish all content as true open access, according to DOAJ's <a href='https://blog.doaj.org/2020/11/17/what-does-doaj-define-as-open-access/' target='_blank' rel='nofollow'>definition</a>.","Veuillez saisir l'année où la revue a commencé à publier tout son contenu en libre accès véritable, selon la <a href='https://blog.doaj.org/2020/11/17/what-does-doaj-define-as-open-access/' target='_blank' rel='nofollow'>définition</a> du DOAJ"
forms/application_forms.py:968,No,"For journals that have flipped to open access, enter the year that the journal flipped, not the original launch date of the journal.","Pour les revues qui sont devenues en libre accès (flip), entrez l'année où la revue est passée au libre accès et non la date de lancement initial de la revue."
forms/application_forms.py:969,No,"For journals that have made digitised backfiles freely available, enter the year that the journal started publishing as a fully open access title, not the date of the earliest free content.","Pour les revues qui ont numérisé leurs anciens numéros pour les rendre disponibles gratuitement, entrez l’année où la revue a commencé à publier en libre accès complet et non la date du contenu gratuit le plus ancien."
forms/application_forms.py:972,No,Enter the Year (YYYY).,Indiquez l'année (AAAA)
forms/application_forms.py:975,No,OA Start Date must be a year in the 4-digit format (eg. 1987) and must be greater than {},"La date de début de l'OA doit être une année au format à 4 chiffres (par exemple, 1987) et doit être supérieure à {}"
forms/application_forms.py:987,No,Does the journal routinely screen article submissions for plagiarism?,La revue vérifie-t-elle systématiquement les articles soumis pour détecter le plagiat?
forms/application_forms.py:990,No,"Screening for plagiarism is recommended, but is not a requirement for inclusion in DOAJ. If the journal does screen for plagiarism, state the services(s) used on your website.","La vérification du plagiat est recommandée, mais n'est pas obligatoire pour l'inclusion au DOAJ. Si la revue effectue une vérification du plagiat, indiquez le(s) service(s) utilisé(s) sur votre site web."
forms/application_forms.py:1008,No,Plagiarism screening,Détection du plagiat
forms/application_forms.py:1014,No,Link to the journal’s plagiarism policy,Lien vers la politique de la revue sur le plagiat
forms/application_forms.py:1015,No,The page should state that the journal actively checks for plagiarism and explain how this is done (including the name of any software or service used).,Cette page doit indiquer que la revue vérifie activement le plagiat et expliquer comment cela est effectué (y compris le nom de tout logiciel ou service utilisé).
forms/application_forms.py:1022,No,Enter the URL for the journal’s <strong>plagiarism policy</strong> page,Saisissez l'URL où se trouve la <strong>politique de plagiat</strong>
forms/application_forms.py:1036,No,Link to the journal’s <b>Aims & Scope</b>,Lien vers les informations sur <b>les objectifs et la couverture de la revue</b>
forms/application_forms.py:1043,No,Enter the URL for the journal’s <strong>Aims & Scope</strong> page,Saisissez l'URL où se trouvent les <strong>objectifs et la couverture</strong> de la revue
forms/application_forms.py:1055,No,Link to the journal’s <b>Editorial Board</b>,Lien vers le <b>comité éditorial</b> de la revue
forms/application_forms.py:1062,No,Enter the URL for the journal’s <strong>Editorial Board</strong> page,Saisissez l'URL où se trouve le <strong>comité éditorial</strong>
forms/application_forms.py:1074,No,Link to the journal’s <b>Instructions for Authors</b>,Lien vers les <b>instructions aux auteur·trices</b>
forms/application_forms.py:1081,No,Enter the URL for the journal’s <strong>Instructions for Authors</strong> page,Saisissez l'URL où se trouvent les <strong>instructions aux auteur·trices</strong>
forms/application_forms.py:1093,No,Average number of <strong>weeks</strong> between article submission & publication,Nombre moyen de <strong>semaines</strong> entre la soumission d’un article et sa publication
forms/application_forms.py:1097,No,Enter an average number of weeks,Entrez un nombre moyen de semaines
forms/application_forms.py:1109,No,Does the journal charge fees for publishing an article (APCs)?,La revue facture-t-elle des frais pour la publication d’un article (APC)?
forms/application_forms.py:1116,No,Publication fees are sometimes called article processing charges (APCs). You should answer Yes if any fee is required from the author for publishing their paper.,Les frais de publication sont parfois appelés frais de traitement des articles (APC en anglais). Vous devez répondre Oui si des frais sont exigés à l'auteur·trice pour la publication de son article.
forms/application_forms.py:1120,No,You must tell us about any APCs,Vous devez nous informer de tout APC
forms/application_forms.py:1131; forms/application_forms.py:1193,No,Highest fee charged,Frais les plus élevés pouvant être facturés
forms/application_forms.py:1140,No,"If the journal charges a range of fees for the publication of an article, enter the highest fee. If the fee can be paid in more than one currency, you may list them here.","Si la revue applique une gamme de frais pour la publication d'un article, indiquez le montant le plus élevé. Si les frais peuvent être payés dans plusieurs devises, vous pouvez les indiquer ici."
forms/application_forms.py:1178,No,Enter the currency or currencies for the journal’s publishing fees,Saisissez la ou les devises pour les frais de publication de la revue
forms/application_forms.py:1200,No,Enter the value of the highest publishing fee the journal has charged,Saisissez la valeur des frais de publication les plus élevés facturés par la revue
forms/application_forms.py:1213; forms/application_forms.py:2228,No,Publication fees,Frais de publication
forms/application_forms.py:1216,No,Link to the page where this is stated. The page must declare <b>whether or not</b> there is a fee to publish an article in the journal.,Lien vers la page où cette information se trouve. Celle-ci doit préciser s'il y a des frais pour publier un article dans la <b>revue ou non</b>.
forms/application_forms.py:1224,No,Enter the URL for the journal’s <strong>publication fees</strong> information page,Saisissez l'URL où se trouvent les informations sur les <strong>frais de publication</strong>
forms/application_forms.py:1236,No,Does the journal provide a waiver or discount on publication fees for authors?,La revue offre-t-elle une exonération ou une réduction des frais de publication aux auteur·trices?
forms/application_forms.py:1244,No,"Answer <strong>Yes</strong> if the journal provides publication fee waivers for authors from low-income economies, discounts for authors from lower middle-income economies, and/or waivers and discounts for other authors with demonstrable needs.","Répondez <strong>Oui</strong> si la revue offre des exonérations de frais de publication pour les auteur·trices venant de pays à faible revenu, des réductions pour les auteur·trices venant de pays au revenu moyen inférieur ou des exonérations et réductions pour d'autres auteur·trices ayant des besoins pouvant être démontrés."
forms/application_forms.py:1261,No,Publication fee waiver,Exonération des frais de publication
forms/application_forms.py:1266,No,Link to the journal’s waiver information.,Lien vers les informations sur l'exonération de frais
forms/application_forms.py:1274,No,Enter the URL for the journal’s <strong>waiver information</strong> page,Saisissez l'URL où se <strong>trouve l'information</strong> sur les exonérations
forms/application_forms.py:1288,No,Does the journal charge any other fees to authors?,La revue facture-t-elle d’autres frais aux auteurs ?
forms/application_forms.py:1295,No,"Declare all other charges: editorial processing charges, language editing fees, colour charges, submission fees, page charges, membership fees, print subscription costs, other supplementary charges","Déclarez tous les autres frais : frais de traitement éditorial, frais de révision linguistique, frais de publication en couleur, frais de soumission, frais par page, frais d'adhésion, coûts d'abonnement à l’imprimé, autres frais supplémentaires."
forms/application_forms.py:1298,No,You must declare any other charges if they exist,Vous devez déclarer tous les autres frais s'ils existent
forms/application_forms.py:1310; forms/application_forms.py:2251,No,Other fees,Autres frais
forms/application_forms.py:1315,No,Link to the journal’s fees information,Lien vers les informations sur les frais
forms/application_forms.py:1322,No,Enter the URL for the journal’s <strong>fees<strong> information page,Saisissez l'URL où se trouvent les informations sur les <strong>frais</strong>
forms/application_forms.py:1336,No,Long-term preservation service(s) where the journal is currently archived,Service(s) de préservation à long terme où la revue est actuellement archivée
forms/application_forms.py:1340,No,CINES,CINES
forms/application_forms.py:1341,No,CLOCKSS,CLOCKSS
forms/application_forms.py:1342,No,LOCKSS,LOCKSS
forms/application_forms.py:1343,No,Internet Archive,Internet Archive
forms/application_forms.py:1344,No,PKP PN,PKP PN
forms/application_forms.py:1345,No,PubMed Central (PMC),PubMed Central (PMC)
forms/application_forms.py:1346,No,Portico,Portico
forms/application_forms.py:1347; forms/application_forms.py:1376,No,A national library,Une bibliothèque nationale
forms/application_forms.py:1351,No,<em>The journal content isn’t archived with a long-term preservation service</em>,
forms/application_forms.py:1356,No,"Content must be actively deposited in each of the options you choose. If the journal is registered with a service but archiving is not yet active, choose <em>The journal content isn’t archived with a long-term preservation service</em>.","Le contenu doit être déposé en continu dans chacune des options que vous sélectionnez. Si la revue est enregistrée auprès d'un service, mais que l'archivage n'est pas encore actif, <em>choisissez « Le contenu de la revue n'est pas archivé par un service de préservation à long terme</em>."
forms/application_forms.py:1359,No,PubMed Central covers PMC U.S.A. and EuropePMC(Wellcome Trust).,PubMed Central comprend PMC (États-Unis) et EuropePMC (Wellcome Trust).
forms/application_forms.py:1362; forms/application_forms.py:1499; forms/application_forms.py:1608,No,Select <strong>at least one</strong> option,Sélectionnez <strong>au moins une</strong> réponse
forms/application_forms.py:1383,No,Name of national library,Nom de la bibliothèque nationale
forms/application_forms.py:1390,No,Enter the name(s) of the national library or libraries where the journal is archived,Saisissez le(s) nom(s) de la ou des bibliothèques nationales où la revue est archivée
forms/application_forms.py:1406,No,Other archiving policy:,Autre politique de préservation :
forms/application_forms.py:1413,No,Enter the name of another archiving policy,Indiquez le nom de l'autre politique d'archivage
forms/application_forms.py:1432,No,Link to the preservation and archiving information,Lien vers les informations sur la préservation et l'archivage
forms/application_forms.py:1475,No,Does the journal have a policy allowing authors to deposit versions of their work in an institutional or other repository of their choice? Where is this policy recorded?,La revue a-t-elle une politique permettant aux auteur·trices de déposer des versions de leur article dans un dépôt institutionnel ou autre dépôt de leur choix? Où cette politique est-elle inscrite?
forms/application_forms.py:1480,No,Diadorim,Diadorim
forms/application_forms.py:1481,No,Dulcinea,Dulcinea
forms/application_forms.py:1482,No,Mir@bel,Mir@bel
forms/application_forms.py:1483,No,Open Policy Finder,Open Policy Finder
forms/application_forms.py:1484,No,Other (including publisher’s own site),Autre (y compris le site de l’éditeur)
forms/application_forms.py:1486,Yes,<em>The journal has no repository policy</em>,Indiquez le nom de l'autre politique de dépôt
forms/application_forms.py:1489,No,Many authors wish to deposit a copy of their paper in an institutional or other repository of their choice. What is the journal’s policy for this?,De nombreux auteur·trices souhaitent déposer une copie de leur article dans un dépôt institutionnel ou autre dépôt de leur choix. Quelle est la politique de la revue à ce sujet?
forms/application_forms.py:1491,No,You should state your policy about the different versions of the paper:\n                          <ul style='list-style-type: none;'>\n                          <li>Submitted version</li>\n                          <li>Accepted version (Author Accepted Manuscript)</li>\n                          <li>Published version (Version of Record)</li>\n                          </ul>,Vous devez préciser la politique de la revue concernant les différentes versions de l'article:\n                          <ul style='list-style-type: none;'>\n                          <li>Article soumis</li>\n                          <li>Article accepté (manuscrit accepté)</li>\n                          <li>Article publié (version de l’éditeur)</li>\n                          </ul>
forms/application_forms.py:1506,No,Name of other website where policy is registered,Nom de l'autre site web où la politique est inscrite
forms/application_forms.py:1513,No,Enter the name of another repository policy,Indiquez le nom de l'autre politique de dépôt
forms/application_forms.py:1538,No,Provide the link to the policy in the selected directory. Or select 'Other' and provide a link to the information on your website.,Indiquez le lien vers la politique dans le répertoire sélectionné. Ou sélectionne 'Autre' et indiquez le lien vers les informations sur votre site web.
forms/application_forms.py:1589,No,Persistent article identifiers used by the journal,Identifiants pérennes d’articles utilisés par la revue
