location,fuzzy,msgid,msgstr
forms/application_forms.py:862,No,"For all the licenses you have indicated above, do authors retain the copyright %(tag_start)s and %(tag_end)s full publishing rights without restrictions?",
forms/application_forms.py:874,No,Answer%(tag_start)s No%(tag_end)s if authors transfer copyright or assign exclusive rights to the publisher (including commercial rights). %(tag_br)s%(tag_br)s Answer%(tag_start)s Yes%(tag_end)s only if authors publishing under any license allowed by the journal retain all rights.,
forms/application_forms.py:889,No,Copyright terms,Droit d’auteur
forms/application_forms.py:891,No,Link to the journal’s copyright terms,Lien vers la déclaration de libre accès de la revue
forms/application_forms.py:904,No,Enter the URL for the journal’s%(tag_start)s copyright terms%(tag_end)s page,Saisissez l'URL où se trouvent les%(tag_start)s objectifs et la couverture%(tag_end)s de la revue
forms/application_forms.py:921,No,DOAJ only accepts peer-reviewed journals. Which type(s) of peer review does this journal use?,
forms/application_forms.py:926,No,Editorial review,Informations générales
forms/application_forms.py:927; forms/application_forms.py:2112,No,Peer review,Évaluation par les pair·es
forms/application_forms.py:928,No,Anonymous peer review,Évaluation par les pair·es
forms/application_forms.py:929,No,Double anonymous peer review,
forms/application_forms.py:930,No,Post-publication peer review,Exonération des frais de publication
forms/application_forms.py:931,No,Open peer review,Évaluation par les pair·es
forms/application_forms.py:932; forms/application_forms.py:1397; forms/application_forms.py:1651; forms/application_forms.py:2579,No,Other,Autre
forms/application_forms.py:935,No,Enter all types of review used by the journal for research articles. Note that editorial review is only accepted for arts and humanities journals.,
forms/application_forms.py:938,No,Peer review must be carried out,
forms/application_forms.py:941,No,Select%(tag_start)s at least one%(tag_end)s type of review process,Sélectionnez%(tag_start)s au moins une%(tag_end)s réponse
forms/application_forms.py:949; forms/application_forms.py:952,No,Other peer review,Évaluation par les pair·es
forms/application_forms.py:959,No,Enter the name of another type of peer review,Indiquez le nom de l'autre type d'identifiant
forms/application_forms.py:976,No,Peer review policy,Évaluation par les pair·es
forms/application_forms.py:978; forms/application_forms.py:1047; forms/application_forms.py:1076; forms/application_forms.py:1097; forms/application_forms.py:1118; forms/application_forms.py:1263; forms/application_forms.py:1313; forms/application_forms.py:1363; forms/application_forms.py:1484; forms/application_forms.py:1590,No,You must provide a URL,Vous devez fournir une URL
forms/application_forms.py:979,No,Link to the journal’s peer review policy,Lien vers la politique de la revue sur le plagiat
forms/application_forms.py:982,No,Enter the URL for the journal’s%(tag_start)s peer review policy%(tag_end)s page,Saisissez l'URL où se trouve la%(tag_start)s politique de plagiat%(tag_start)s
forms/application_forms.py:995,No,When did the journal start to publish all content using an open license?,Quand la revue a-t-elle commencé à publier son contenu sous une licence ouverte?
forms/application_forms.py:1000,No,"Please enter the year that the journal started to publish all content as true open access, according to DOAJ's %(link_start)s definition%(link_end)s.","Veuillez saisir l'année où la revue a commencé à publier tout son contenu en libre accès véritable, selon la%(link_start)s définition%(link_end)s du DOAJ"
forms/application_forms.py:1003,No,"For journals that have flipped to open access, enter the year that the journal flipped, not the original launch date of the journal.","Pour les revues qui sont devenues en libre accès (flip), entrez l'année où la revue est passée au libre accès et non la date de lancement initial de la revue."
forms/application_forms.py:1004,No,"For journals that have made digitised backfiles freely available, enter the year that the journal started publishing as a fully open access title, not the date of the earliest free content.","Pour les revues qui ont numérisé leurs anciens numéros pour les rendre disponibles gratuitement, entrez l’année où la revue a commencé à publier en libre accès complet et non la date du contenu gratuit le plus ancien."
forms/application_forms.py:1007,No,Enter the Year (YYYY).,Indiquez l'année (AAAA)
forms/application_forms.py:1010,No,OA Start Date must be a year in the 4-digit format (eg. 1987) and must be greater than {},"La date de début de l'OA doit être une année au format à 4 chiffres (par exemple, 1987) et doit être supérieure à {}"
forms/application_forms.py:1022,No,Does the journal routinely screen article submissions for plagiarism?,La revue vérifie-t-elle systématiquement les articles soumis pour détecter le plagiat?
forms/application_forms.py:1025,No,"Screening for plagiarism is recommended, but is not a requirement for inclusion in DOAJ. If the journal does screen for plagiarism, state the services(s) used on your website.","La vérification du plagiat est recommandée, mais n'est pas obligatoire pour l'inclusion au DOAJ.Si la revue effectue une vérification du plagiat, indiquez le(s) service(s) utilisé(s) sur votre site web."
forms/application_forms.py:1043,No,Plagiarism screening,Détection du plagiat
forms/application_forms.py:1049,No,Link to the journal’s plagiarism policy,Lien vers la politique de la revue sur le plagiat
forms/application_forms.py:1050,No,The page should state that the journal actively checks for plagiarism and explain how this is done (including the name of any software or service used).,Cette page doit indiquer que la revue vérifie activement le plagiat et expliquer comment cela est effectué (y compris le nom de tout logiciel ou service utilisé).
forms/application_forms.py:1057,No,Enter the URL for the journal’s%(tag_start)s plagiarism policy%(tag_end)s page,Saisissez l'URL où se trouve la%(tag_start)s politique de plagiat%(tag_end)s
forms/application_forms.py:1072,No,Link to the journal’s%(tag_start)s Aims & Scope%(tag_end)s,Saisissez l'URL où se trouvent les%(tag_start)s objectifs et la couverture%(tag_end)s de la revue
forms/application_forms.py:1080,No,Enter the URL for the journal’s%(tag_start)s Aims & Scope%(tag_end)s page,Saisissez l'URL où se trouvent les%(tag_start)s objectifs et la couverture%(tag_end)s de la revue
forms/application_forms.py:1093,No,Link to the journal’s%(tag_start)s Editorial Board%(tag_end)s,Lien vers le%(tag_start)s comité éditorial%(tag_end)s de la revue
forms/application_forms.py:1101,No,Enter the URL for the journal’s%(tag_start)s Editorial Board%(tag_end)s page,Saisissez l'URL où se trouve le%(tag_start)s comité éditorial%(tag_end)s
forms/application_forms.py:1114,No,Link to the journal’s%(tag_start)s Instructions for Authors%(tag_end)s,Lien vers les%(tag_start)s instructions aux auteur·trices%(tag_end)s
forms/application_forms.py:1122,No,Enter the URL for the journal’s%(tag_start)s Instructions for Authors%(tag_end)s page,Saisissez l'URL où se trouvent les%(tag_start)s instructions aux auteur·trices%(tag_end)s
forms/application_forms.py:1135,No,Average number of %(tag_start)s weeks %(tag_end)s between article submission & publication,Nombre moyen de %(tag_start)s semaines%(tag_end)s entre la soumission d’un article et sa publication
forms/application_forms.py:1140,No,Enter an average number of weeks,Entrez un nombre moyen de semaines
forms/application_forms.py:1152,No,Does the journal charge fees for publishing an article (APCs)?,La revue facture-t-elle des frais pour la publication d’un article (APC)?
forms/application_forms.py:1159,No,Publication fees are sometimes called article processing charges (APCs). You should answer Yes if any fee is required from the author for publishing their paper.,Les frais de publication sont parfois appelés frais de traitement des articles (APC en anglais). Vous devez répondre Oui si des frais sont exigés à l'auteur·trice pour la publication de son article.
forms/application_forms.py:1163,No,You must tell us about any APCs,Vous devez nous informer de tout APC
forms/application_forms.py:1174; forms/application_forms.py:1236,No,Highest fee charged,Frais les plus élevés pouvant être facturés
forms/application_forms.py:1183,No,"If the journal charges a range of fees for the publication of an article, enter the highest fee. If the fee can be paid in more than one currency, you may list them here.","Si la revue applique une gamme de frais pour la publication d'un article, indiquez le montant le plus élevé. Si les frais peuvent être payés dans plusieurs devises, vous pouvez les indiquer ici."
forms/application_forms.py:1221,No,Enter the currency or currencies for the journal’s publishing fees,Saisissez la ou les devises pour les frais de publication de la revue
forms/application_forms.py:1243,No,Enter the value of the highest publishing fee the journal has charged,Saisissez la valeur des frais de publication les plus élevés facturés par la revue
forms/application_forms.py:1256; forms/application_forms.py:2145,No,Publication fees,Frais de publication
forms/application_forms.py:1259,No,Link to the page where this is stated. The page must declare%(tag_start)s whether or not%(tag_end)s there is a fee to publish an article in the journal.,Lien vers la page où cette information se trouve. Celle-ci doit préciser s'il y a des frais pour publier un article dans la%(tag_start)s revue ou non%(tag_end)s.
forms/application_forms.py:1268,No,Enter the URL for the journal’s%(tag_start)s publication fees%(tag_end)s information page,Saisissez l'URL où se trouvent les informations sur les%(tag_start)s frais de publication%(tag_end)s
forms/application_forms.py:1281,No,Does the journal provide a waiver or discount on publication fees for authors?,La revue offre-t-elle une exonération ou une réduction des frais de publication aux auteur·trices?
forms/application_forms.py:1289,No,"Answer%(tag_start)s Yes%(tag_end)s if the journal provides publication fee waivers for authors from low-income economies, discounts for authors from lower middle-income economies, and/or waivers and discounts for other authors with demonstrable needs.","Répondez%(tag_start)s Oui%(tag_end)s si la revue offre des exonérations de frais de publication pour les auteur·trices venant de pays à faible revenu, des réductions pour les auteur·trices venant de pays au revenu moyen inférieur ou des exonérations et réductions pour d'autres auteur·trices ayant des besoins pouvant être démontrés."
forms/application_forms.py:1307,No,Publication fee waiver,Exonération des frais de publication
forms/application_forms.py:1312,No,Link to the journal’s waiver information.,Lien vers les informations sur l'exonération de frais
forms/application_forms.py:1320,No,Enter the URL for the journal’s%(tag_start)s waiver information%(tag_end)s page,Saisissez l'URL où se%(tag_start)s trouve l'information%(tag_end)s sur les exonérations
forms/application_forms.py:1335,No,Does the journal charge any other fees to authors?,La revue facture-t-elle d’autres frais aux auteurs ?
forms/application_forms.py:1342,No,"Declare all other charges: editorial processing charges, language editing fees, colour charges, submission fees, page charges, membership fees, print subscription costs, other supplementary charges","Déclarez tous les autres frais : frais de traitement éditorial, frais de révision linguistique, frais de publication en couleur, frais de soumission, frais par page, frais d'adhésion, coûts d'abonnement à l’imprimé, autres frais supplémentaires."
forms/application_forms.py:1345,No,You must declare any other charges if they exist,Vous devez déclarer tous les autres frais s'ils existent
forms/application_forms.py:1357; forms/application_forms.py:2168,No,Other fees,Autres frais
forms/application_forms.py:1362,No,Link to the journal’s fees information,Lien vers la déclaration de libre accès de la revue
forms/application_forms.py:1369,No,Enter the URL for the journal's%(tag_start)s fees%(tag_end)s information page,Saisissez l'URL où se trouvent les informations sur les%(tag_start)s frais%(tag_end)s
forms/application_forms.py:1384,No,Long-term preservation service(s) where the journal is currently archived,Service(s) de préservation à long terme où la revue est actuellement archivée
forms/application_forms.py:1388,No,CINES,CINES
forms/application_forms.py:1389,No,CLOCKSS,CLOCKSS
forms/application_forms.py:1390,No,LOCKSS,LOCKSS
forms/application_forms.py:1391,No,Internet Archive,Internet Archive
forms/application_forms.py:1392,No,PKP PN,PKP PN
forms/application_forms.py:1393,No,PubMed Central (PMC),PubMed Central (PMC)
forms/application_forms.py:1394,No,Portico,Portico
forms/application_forms.py:1395; forms/application_forms.py:1427,No,A national library,Une bibliothèque nationale
forms/application_forms.py:1399,No,%(tag_start)sThe journal content isn’t archived with a long-term preservation service%(tag_end)s,%(tag_start)sLe contenu de la revue n’est pas archivé par un service de préservation à long terme%(tag_end)s
forms/application_forms.py:1405,No,"Content must be actively deposited in each of the options you choose. If the journal is registered with a service but archiving is not yet active, choose%(tag_start)s The journal content isn’t archived with a long-term preservation service%(tag_end)s.","Le contenu doit être déposé en continu dans chacune des options que vous sélectionnez. Si la revue est enregistrée auprès d'un service, mais que l'archivage n'est pas encore actif,%(tag_start)s choisissez « Le contenu de la revue n'est pas archivé par un service de préservation à long terme »%(tag_end)s."
forms/application_forms.py:1409,No,PubMed Central covers PMC U.S.A. and EuropePMC(Wellcome Trust).,PubMed Central comprend PMC (États-Unis) et EuropePMC (Wellcome Trust).
forms/application_forms.py:1412; forms/application_forms.py:1551; forms/application_forms.py:1664,No,Select%(tag_start)s at least one%(tag_end)s option,Sélectionnez%(tag_start)s au moins une%(tag_end)s réponse
forms/application_forms.py:1434,No,Name of national library,Nom de la bibliothèque nationale
forms/application_forms.py:1441,No,Enter the name(s) of the national library or libraries where the journal is archived,Saisissez le(s) nom(s) de la ou des bibliothèques nationales où la revue est archivée
forms/application_forms.py:1457,No,Other archiving policy:,Autre politique de préservation :
forms/application_forms.py:1464,No,Enter the name of another archiving policy,Indiquez le nom de l'autre politique d'archivage
forms/application_forms.py:1483,No,Link to the preservation and archiving information,Lien vers les informations sur la préservation et l'archivage
forms/application_forms.py:1526,No,Does the journal have a policy allowing authors to deposit versions of their work in an institutional or other repository of their choice? Where is this policy recorded?,La revue a-t-elle une politique permettant aux auteur·trices de déposer des versions de leur article dans un dépôt institutionnel ou autre dépôt de leur choix? Où cette politique est-elle inscrite?
forms/application_forms.py:1531,No,Diadorim,Diadorim
forms/application_forms.py:1532,No,Dulcinea,Dulcinea
forms/application_forms.py:1533,No,Mir@bel,Mir@bel
forms/application_forms.py:1534,No,Open Policy Finder,Ouvrir l'outil de recherche de politiques
forms/application_forms.py:1535,No,Other (including publisher’s own site),Autre (y compris le site de l’éditeur)
forms/application_forms.py:1537,No,%(tag_start)sThe journal has no repository policy%(tag_end)s,%(tag_start)sLa revue n’a pas de politique de dépôt%(tag_end)s
forms/application_forms.py:1541,No,Many authors wish to deposit a copy of their paper in an institutional or other repository of their choice. What is the journal’s policy for this?,De nombreux auteur·trices souhaitent déposer une copie de leur article dans un dépôt institutionnel ou autre dépôt de leur choix. Quelle est la politique de la revue à ce sujet?
forms/application_forms.py:1543,No,You should state your policy about the different versions of the paper:,
forms/application_forms.py:1545,No,Submitted version,
forms/application_forms.py:1546,No,Accepted version (Author Accepted Manuscript),
forms/application_forms.py:1547,No,Published version (Version of Record),
forms/application_forms.py:1559,No,Name of other website where policy is registered,Nom de l'autre site web où la politique est inscrite
forms/application_forms.py:1566,No,Enter the name of another repository policy,Indiquez le nom de l'autre politique de dépôt
forms/application_forms.py:1591,No,Provide the link to the policy in the selected directory. Or select 'Other' and provide a link to the information on your website.,Indiquez le lien vers la politique dans le répertoire sélectionné. Ou sélectionne 'Autre' et indiquez le lien vers les informations sur votre site web.
forms/application_forms.py:1642,No,Persistent article identifiers used by the journal,
forms/application_forms.py:1647,No,DOIs,DOI
forms/application_forms.py:1648,No,ARKs,ARK
forms/application_forms.py:1649,No,Handles,Handle
forms/application_forms.py:1650,No,PURLs,PURL
forms/application_forms.py:1652,No,%(tag_start)sThe journal does not use persistent article identifiers%(tag_end)s,%(tag_start)sLa revue n’utilise pas d'identifiants pérennes d’articles%(tag_start)s
forms/application_forms.py:1657,No,A persistent article identifier (PID) is used to find the article no matter where it is located. The most common type of PID is the digital object identifier (DOI). ,Un identifiant d'article pérenne (PID) est utilisé pour retrouver l'article peu importe où il se trouve. Le type de PID le plus courant est le DOI (Digital Object Identifier).
forms/application_forms.py:1659,No,%(link_start)s Read more about PIDs. %(link_end)s,
forms/application_forms.py:1672,No,Other identifier,Autre identifiant
forms/application_forms.py:1679,No,Enter the name of another type of identifier,Indiquez le nom de l'autre type d'identifiant
forms/application_forms.py:1696,No,Subscribe to Open,
forms/application_forms.py:1700,No,Is the journal part of the %(link_start)s Subscribe to Open %(link_end)s initiative?,
forms/application_forms.py:1710,No,Reason for rejection,Motif du refus
forms/application_forms.py:1718,No,Additional info,Informations complémentaires
forms/application_forms.py:1721,No,"The selected reason for rejection, and any additional information you include, are sent to the journal contact with the rejection email.",Le motif de rejet sélectionné et toute information supplémentaire que vous
forms/application_forms.py:1732,No,DOAJ Account,
forms/application_forms.py:1745,No,You must confirm the account id,Vous devez confirmer l'identifiant du compte
forms/application_forms.py:1756,No,Change status,Changer de statut
forms/application_forms.py:1771,No,Set the status to 'In Progress' to signal to the applicant that you have started your review.Set the status to 'Completed' to alert the Editor that you have completed your review.,Définissez le statut sur « En cours » pour signaler au candidat que vous avez commencé votre évaluation. Définissez le statut sur « Terminé » pour alerter l'éditeur que vous avez terminé votre évaluation.
forms/application_forms.py:1779,No,Revert the status to 'In Progress' to signal to the Associate Editor that further work is needed.Set the status to 'Ready' to alert the Managing Editor that you have completed your review.,Remettez le statut sur « En cours » pour signaler au rédacteur en chef adjoint que des travaux supplémentaires sont nécessaires. Définissez le statut sur « Prêt » pour alerter le rédacteur en chef que vous avez terminé votre révision.
forms/application_forms.py:1794,No,Group,Groupe
forms/application_forms.py:1817,No,Individual,Individuel
forms/application_forms.py:1832,No,Discontinued on,
forms/application_forms.py:1835,No,Date must be a big-end formatted date (e.g. 2020-11-23),La date doit être une date au format big-end (par exemple 2020-11-23)
forms/application_forms.py:1842,No,You cannot enter both a discontinued date and continuation information.,Vous ne pouvez pas saisir à la fois une date d'arrêt et des informations de continuation.
forms/application_forms.py:1847,No,"Please enter the discontinued date in the form YYYY-MM-DD (e.g. 2020-11-23).  If the day of the month is not known, please use '01' (e.g. 2020-11-01)","Veuillez saisir la date d'arrêt au format AAAA-MM-JJ (par exemple, 23/11/2020). Si le jour du mois est inconnu, veuillez utiliser '01' (par exemple, 01/11/2020)."
forms/application_forms.py:1856,No,Continues an%(tag_start)s older%(tag_end)s journal with the ISSN(s),Continue une revue%(tag_start)s plus ancienne%(tag_end)s avec les ISSN
forms/application_forms.py:1862; forms/application_forms.py:1891,No,The ISSN provided in both fields must be different. Please make sure to enter the ISSN of an older journal for the first field and the ISSN of a newer journal for the second field. They cannot be the same.,L'ISSN indiqué dans les deux champs doit être différent. Veuillez saisir l'ISSN d'une revue plus ancienne dans le premier champ et celui d'une revue plus récente dans le second. Ces deux champs ne peuvent pas être identiques.
forms/application_forms.py:1867; forms/application_forms.py:1896,No,You cannot enter both continuation information and a discontinued date,Vous ne pouvez pas saisir à la fois des informations de continuation et une date d'arrêt
forms/application_forms.py:1877,No,Enter the ISSN(s) of the previous title(s) of this journal.,Saisissez le(s) ISSN du(des) titre(s) précédent(s) de cette revue.
forms/application_forms.py:1885,No,Continued by a%(tag_start)s newer%(tag_end)s journal with the ISSN(s),Continué par une revue%(tag_start)s plus récente%(tag_end)s avec l'ISSN(s)
forms/application_forms.py:1901,No,Enter the ISSN(s) of the later title(s) that continue this publication.,Indiquez le(s) ISSN du(des) titre(s) ultérieur(s) qui continue(nt) cette publication.
forms/application_forms.py:1914,No,Assign one or a maximum of two subject classifications,Attribuer une ou un maximum de deux classifications de sujets
forms/application_forms.py:1917,No,Selecting a subject will not automatically select its sub-categories,La sélection d'un sujet ne sélectionnera pas automatiquement ses sous-catégories
forms/application_forms.py:1928,No,"This field is required when setting the Application Status to %(y)s, %(z)s or %(a)s","Ce champ est obligatoire lorsque l'état de l'application est défini sur %(y)s, %(z)s ou %(a)s"
forms/application_forms.py:1952; forms/application_forms.py:2280,No,Notes,Remarques
forms/application_forms.py:2019; forms/application_forms.py:2294,No,Allow save without validation,Autoriser la sauvegarde sans validation
forms/application_forms.py:2035; templates-v2/_application-form/includes/_fieldset_oa_compliance.html:3; templates-v2/public/_application-form/includes/_pagination_menu.html:5; templates-v2/public/public_application.html:15,No,Open access compliance,Exigences en matière de libre accès
forms/application_forms.py:2046; templates-v2/_application-form/includes/_fieldset_about.html:6,No,About the journal,À propos de la revue
forms/application_forms.py:2061,No,Publisher,Éditeur
forms/application_forms.py:2071,No,"Other organisation, if applicable","Autre organisation, s’il y a lieu"
forms/application_forms.py:2081,No,Licensing,Conditions d'utilisation
forms/application_forms.py:2092,No,Embedded licenses,Affichage des licences ou conditions d’utilisation
forms/application_forms.py:2102,No,Copyright,Droit d’auteur
